name_a,name_b,cipher,kamea,overall_resonance,node_similarity,edge_similarity,node_weight_similarity,edge_weight_similarity,vector_similarity,alignment_similarity,node_overlap_ratio,edge_overlap_ratio,shared_node_count,shared_edge_count,unique_nodes_a,unique_nodes_b,unique_edges_a,unique_edges_b
Michael Elvis Brockway,Antonio Ballester,ordinal,saturn,0.4891178434945504,0.6666666666666666,0.24,0.4537037037037038,0.24,0.9547070609673022,0.37962962962962965,0.6666666666666666,0.24,6,6,3,0,11,8
Michael Elvis Brockway,Antonio Ballester,ordinal,jupiter,0.3690608221495655,0.5,0.03225806451612903,0.36904761904761907,0.03225806451612903,0.9444916610079921,0.33630952380952384,0.5,0.03225806451612903,7,1,5,2,16,14
Michael Elvis Brockway,Antonio Ballester,ordinal,mars,0.43485743259966037,0.47058823529411764,0.03125,0.4117647058823529,0.03125,0.974953419127374,0.6893382352941176,0.47058823529411764,0.03125,8,1,7,2,17,14
Michael Elvis Brockway,Antonio Ballester,ordinal,sun,0.43485743259966037,0.47058823529411764,0.03125,0.4117647058823529,0.03125,0.974953419127374,0.6893382352941176,0.47058823529411764,0.03125,8,1,7,2,17,14
Michael Elvis Brockway,Antonio Ballester,ordinal,venus,0.43485743259966037,0.47058823529411764,0.03125,0.4117647058823529,0.03125,0.974953419127374,0.6893382352941176,0.47058823529411764,0.03125,8,1,7,2,17,14
Michael Elvis Brockway,Antonio Ballester,ordinal,mercury,0.43485743259966037,0.47058823529411764,0.03125,0.4117647058823529,0.03125,0.974953419127374,0.6893382352941176,0.47058823529411764,0.03125,8,1,7,2,17,14
Michael Elvis Brockway,Antonio Ballester,ordinal,moon,0.43485743259966037,0.47058823529411764,0.03125,0.4117647058823529,0.03125,0.974953419127374,0.6893382352941176,0.47058823529411764,0.03125,8,1,7,2,17,14
Michael Elvis Brockway,Antonio Ballester,hebrew_literal,saturn,0.48296048531092906,0.875,0.10714285714285714,0.4791666666666667,0.10714285714285714,0.9621230309131932,0.3671875,0.875,0.10714285714285714,7,3,1,0,13,12
Michael Elvis Brockway,Antonio Ballester,hebrew_literal,jupiter,0.46325984775105633,0.8,0.03225806451612903,0.5666666666666667,0.03225806451612903,0.9817096241407465,0.3666666666666667,0.8,0.03225806451612903,8,1,1,1,17,13
Michael Elvis Brockway,Antonio Ballester,hebrew_literal,mars,0.4697818369588472,0.6666666666666666,0.15384615384615385,0.4666666666666667,0.14102564102564102,0.9390970046590664,0.45138888888888884,0.6666666666666666,0.15384615384615385,6,4,3,0,12,10
Michael Elvis Brockway,Antonio Ballester,hebrew_literal,sun,0.4511591492640071,0.75,0.03125,0.5486111111111112,0.03125,0.9708437844729313,0.375,0.75,0.03125,9,1,2,1,17,14
Michael Elvis Brockway,Antonio Ballester,hebrew_literal,venus,0.5077487453844177,0.75,0.06451612903225806,0.5694444444444445,0.06451612903225806,0.9834324364642122,0.6145833333333334,0.75,0.06451612903225806,9,2,3,0,16,13
Michael Elvis Brockway,Antonio Ballester,hebrew_literal,mercury,0.4394569493335783,0.6666666666666666,0.03125,0.5416666666666666,0.03125,0.9621385213982956,0.4037698412698413,0.6666666666666666,0.03125,8,1,2,2,17,14
Michael Elvis Brockway,Antonio Ballester,hebrew_literal,moon,0.40923330829754745,0.5714285714285714,0.03125,0.48809523809523814,0.03125,0.9851617545471897,0.3482142857142857,0.5714285714285714,0.03125,8,1,4,2,17,14
Michael Elvis Brockway,Antonio Ballester,hebrew_phonetic,saturn,0.48296048531092906,0.875,0.10714285714285714,0.4791666666666667,0.10714285714285714,0.9621230309131932,0.3671875,0.875,0.10714285714285714,7,3,1,0,13,12
Michael Elvis Brockway,Antonio Ballester,hebrew_phonetic,jupiter,0.46325984775105633,0.8,0.03225806451612903,0.5666666666666667,0.03225806451612903,0.9817096241407465,0.3666666666666667,0.8,0.03225806451612903,8,1,1,1,17,13
