date,asset,long_weight,short_weight,total_weight,net_long_score,strategy_count,active_strategies,ensemble_confidence,consensus_score,breadth_score,confidence_label
2020-01-25,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-01-26,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-01-27,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-01-28,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-01-29,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-01-30,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-01-31,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-01,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-02,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-03,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-04,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-05,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-06,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-07,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-08,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-09,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-10,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-11,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-12,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-13,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-14,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-15,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-16,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-17,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-18,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
2020-02-19,ETH-USD,0.22065389115969808,0.0,0.22065389115969808,0.22065389115969808,2,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0']",0.82,1.0,0.4,moderate_ensemble_signal
