hypothesis_id,family,alpha_score,passed_min_trades,description,signal_asset_rule,hold_period,direction,raw_trade_count,raw_win_rate,raw_avg_return,raw_median_return,raw_std_return,raw_min_return,raw_max_return,raw_gross_profit,raw_gross_loss,raw_profit_factor,raw_sharpe_like,raw_sortino_like,raw_final_equity,raw_total_return,raw_max_drawdown,raw_recovery_factor,raw_expectancy,non_overlap_trade_count,non_overlap_win_rate,non_overlap_avg_return,non_overlap_median_return,non_overlap_std_return,non_overlap_min_return,non_overlap_max_return,non_overlap_gross_profit,non_overlap_gross_loss,non_overlap_profit_factor,non_overlap_sharpe_like,non_overlap_sortino_like,non_overlap_final_equity,non_overlap_total_return,non_overlap_max_drawdown,non_overlap_recovery_factor,non_overlap_expectancy,asset_concentration,asset_counts
topology_low_density_leader_72,topology,5.893153,True,Long 72-period leader when correlation graph density is low.,leader_asset_72,72,LONG,633,0.71406,0.59543661,0.43922732,0.94337678,-0.6210063,4.51286557,437.97926935,61.06789698,7.172005,15.880062,96.82851,2.5801352979763855e+83,2.5801352979763855e+83,-1.0,2.5801352979763855e+83,0.59543661,224,0.714286,0.60674584,0.43690368,0.96703104,-0.60272562,4.11704293,157.75035464,21.83928691,7.223237,9.390536,55.581647,4.468510344726137e+29,4.468510344726137e+29,-0.99999828,4.468518012997959e+29,0.60674584,0.663507,"{'SOL-USD': 420, 'BTC-USD': 123, 'ETH-USD': 90}"
leader_persistence_288_8,leadership,4.13712,True,Long leader when leadership persists for at least 8 bars over 288.,leader_asset_288,288,LONG,1540,0.676623,1.09262675,0.27206468,3.00215612,-0.8972573,27.45738499,1938.84630031,256.20110466,7.567673,14.282325,132.3601,2.3121589035354367e+120,2.3121589035354367e+120,-1.0,2.3121589035354367e+120,1.09262675,136,0.691176,1.23231271,0.27055276,3.43449108,-0.8694301,27.14028379,188.55642199,20.96189373,8.9952,4.18435,43.370571,28584171037146.676,28584171037145.676,-1.0,28584171037145.68,1.23231271,0.570779,"{'SOL-USD': 879, 'BTC-USD': 407, 'ETH-USD': 254}"
momentum_top_rank_72_q75,momentum,4.06169,True,Long strongest-ranked asset when 72-period return is above q75 threshold.,asset_with_min_rank_return_72,72,LONG,871,0.61194,0.43058575,0.22394951,0.82318923,-0.64978076,4.51286557,454.75159608,79.71140497,5.704975,15.437219,79.089835,1.2638086242276396e+83,1.2638086242276396e+83,-1.0,1.2638086242276415e+83,0.43058575,310,0.6,0.43469049,0.21050419,0.83351854,-0.64978076,4.11704293,163.75258671,28.99853582,5.646926,9.182178,45.378387,2.348770289088131e+29,2.348770289088131e+29,-0.99999496,2.3487821165609603e+29,0.43469049,0.659013,"{'SOL-USD': 574, 'ETH-USD': 196, 'BTC-USD': 101}"
momentum_top_rank_72_q50,momentum,3.35111,True,Long strongest-ranked asset when 72-period return is above q50 threshold.,asset_with_min_rank_return_72,72,LONG,1344,0.572917,0.37929796,0.08888538,0.85956618,-0.69268408,4.80183044,651.24980319,141.47334423,4.603339,16.177106,82.257898,1.403457114703245e+98,1.403457114703245e+98,-1.0,1.403457114703245e+98,0.37929796,490,0.567347,0.37945142,0.09158115,0.87535633,-0.69268408,4.42286952,237.59809614,51.66690207,4.598652,9.595538,48.498093,1.3831465227133227e+35,1.3831465227133227e+35,-0.99999992,1.3831466391173848e+35,0.37945142,0.576637,"{'SOL-USD': 775, 'ETH-USD': 310, 'BTC-USD': 259}"
breadth_positive_72_0_66,breadth,3.070836,True,Long leader when 66%+ of assets are positive over 72.,leader_asset_72,72,LONG,1277,0.570869,0.3542796,0.08539195,0.8277188,-0.69268408,4.51286557,588.20271424,135.78766921,4.331783,15.295327,74.208961,1.98825870629594e+86,1.98825870629594e+86,-1.0,1.98825870629594e+86,0.3542796,475,0.562105,0.34891834,0.0877775,0.83790327,-0.69268408,4.11704293,216.97741093,51.24119784,4.234433,9.075629,43.487504,5.364110617558244e+30,5.364110617558244e+30,-0.99999987,5.364111296294039e+30,0.34891834,0.581832,"{'SOL-USD': 743, 'ETH-USD': 291, 'BTC-USD': 243}"
breadth_positive_72_0_5,breadth,3.061974,True,Long leader when 50%+ of assets are positive over 72.,leader_asset_72,72,LONG,1293,0.573086,0.35152689,0.08568239,0.82314704,-0.69268408,4.51286557,590.50891299,135.98463891,4.342468,15.356081,73.992501,1.2303905022599052e+87,1.2303905022599052e+87,-1.0,1.2303905022599052e+87,0.35152689,481,0.565489,0.34682982,0.0877775,0.83317842,-0.69268408,4.11704293,218.14597427,51.32083177,4.250632,9.129583,43.509334,1.3341427257085372e+31,1.3341427257085372e+31,-0.99999987,1.334142894521317e+31,0.34682982,0.574633,"{'SOL-USD': 743, 'ETH-USD': 294, 'BTC-USD': 256}"
breadth_dispersion_breakout_24,breadth,3.009334,True,Long leader when cross-sectional spread is elevated over 24.,leader_asset_24,24,LONG,489,0.619632,0.29140065,0.11056451,0.56605055,-0.58356319,3.05772129,174.02176016,31.52683999,5.519797,11.383865,49.514031,1.1129221029791054e+37,1.1129221029791054e+37,-0.99988643,1.1130485127858055e+37,0.29140065,489,0.619632,0.29140065,0.11056451,0.56605055,-0.58356319,3.05772129,174.02176016,31.52683999,5.519797,11.383865,49.514031,1.1129221029791038e+37,1.1129221029791038e+37,-0.99975049,1.1131998610382466e+37,0.29140065,0.672802,"{'SOL-USD': 329, 'ETH-USD': 93, 'BTC-USD': 67}"
breadth_positive_72_0_8,breadth,2.856166,True,Long leader when 80%+ of assets are positive over 72.,leader_asset_72,72,LONG,963,0.553479,0.3381266,0.06810408,0.8456556,-0.69268408,4.51286557,430.40989125,104.79397863,4.107201,12.407919,60.992078,9.60365358774588e+58,9.60365358774588e+58,-1.0,9.60365358774588e+58,0.3381266,365,0.550685,0.33502806,0.06706516,0.84337297,-0.68704699,4.11704293,161.36046294,39.07521931,4.129483,7.589409,37.073435,1.3893139716427649e+22,1.3893139716427649e+22,-0.9999903,1.3893274535930314e+22,0.33502806,0.639668,"{'SOL-USD': 616, 'ETH-USD': 233, 'BTC-USD': 114}"
breadth_positive_72_1_0,breadth,2.856166,True,Long leader when 100%+ of assets are positive over 72.,leader_asset_72,72,LONG,963,0.553479,0.3381266,0.06810408,0.8456556,-0.69268408,4.51286557,430.40989125,104.79397863,4.107201,12.407919,60.992078,9.60365358774588e+58,9.60365358774588e+58,-1.0,9.60365358774588e+58,0.3381266,365,0.550685,0.33502806,0.06706516,0.84337297,-0.68704699,4.11704293,161.36046294,39.07521931,4.129483,7.589409,37.073435,1.3893139716427649e+22,1.3893139716427649e+22,-0.9999903,1.3893274535930314e+22,0.33502806,0.639668,"{'SOL-USD': 616, 'ETH-USD': 233, 'BTC-USD': 114}"
leader_persistence_288_3,leadership,2.847485,True,Long leader when leadership persists for at least 3 bars over 288.,leader_asset_288,288,LONG,1643,0.686549,1.20282013,0.28328322,3.43295679,-0.8972573,36.84813127,2235.24187708,259.00840175,8.629998,14.202053,149.751858,4.297624088753423e+152,4.297624088753423e+152,-1.0,4.297624088753423e+152,1.20282013,147,0.707483,1.31240653,0.28879187,3.86111753,-0.88910251,33.20009644,214.63130682,21.70754631,9.887405,4.121108,47.765584,3357482092596174.0,3357482092596173.0,-1.0,3357482092596173.0,1.31240653,0.552039,"{'SOL-USD': 907, 'BTC-USD': 452, 'ETH-USD': 284}"
