generated_at,asset,ensemble_rank,ensemble_score,confidence,conviction,ensemble_action,regime
2026-07-10T10:23:06.514753+00:00,BTC-USD,1,0.4803,0.882257,0.423748,WATCH,RISK_OFF
2026-07-10T10:23:06.514753+00:00,ETH-USD,2,0.478409,0.882521,0.422206,WATCH,RISK_OFF
2026-07-10T10:23:06.514753+00:00,AAVE-USD,3,0.520257,0.720544,0.374868,WATCH,RISK_OFF
2026-07-10T10:23:06.514753+00:00,SOL-USD,4,0.492465,0.734509,0.36172,WATCH,RISK_OFF
2026-07-10T10:23:06.514753+00:00,LINK-USD,5,0.378098,0.774681,0.292905,ROTATING_OUT,RISK_OFF
2026-07-10T10:23:06.514753+00:00,BNB-USD,6,0.375896,0.775074,0.291347,ROTATING_OUT,RISK_OFF
2026-07-10T10:23:06.514753+00:00,AVAX-USD,7,0.353394,0.778042,0.274956,AVOID,RISK_OFF
2026-07-10T10:23:06.514753+00:00,XRP-USD,8,0.348802,0.778408,0.27151,AVOID,RISK_OFF
2026-07-10T10:23:06.514753+00:00,ADA-USD,9,0.344642,0.778667,0.268362,AVOID,RISK_OFF
2026-07-10T10:23:06.514753+00:00,DOGE-USD,10,0.274849,0.772837,0.212413,AVOID,RISK_OFF
2026-07-10T10:45:45.588054+00:00,LINK-USD,1,0.522902,0.950738,0.497143,WATCH,MIXED
2026-07-10T10:45:45.588054+00:00,BNB-USD,2,0.521165,0.950466,0.495349,WATCH,MIXED
2026-07-10T10:45:45.588054+00:00,AVAX-USD,3,0.503419,0.944854,0.475658,WATCH,MIXED
2026-07-10T10:45:45.588054+00:00,XRP-USD,4,0.499799,0.943159,0.471391,WATCH,MIXED
2026-07-10T10:45:45.588054+00:00,ADA-USD,5,0.496521,0.941492,0.46747,WATCH,MIXED
2026-07-10T10:45:45.588054+00:00,AAVE-USD,6,0.520257,0.828532,0.43105,WATCH,MIXED
2026-07-10T10:45:45.588054+00:00,SOL-USD,7,0.492465,0.841315,0.414319,WATCH,MIXED
2026-07-10T10:45:45.588054+00:00,DOGE-USD,8,0.44156,0.902271,0.398407,ROTATING_OUT,MIXED
2026-07-10T10:45:45.588054+00:00,BTC-USD,9,0.436924,0.864445,0.377696,ROTATING_OUT,MIXED
2026-07-10T10:45:45.588054+00:00,ETH-USD,10,0.434843,0.864801,0.376053,ROTATING_OUT,MIXED
2026-07-10T11:07:10.712477+00:00,LINK-USD,1,0.513002,0.956944,0.490914,WATCH,MIXED
2026-07-10T11:07:10.712477+00:00,BNB-USD,2,0.510871,0.95708,0.488944,WATCH,MIXED
2026-07-10T11:07:10.712477+00:00,AVAX-USD,3,0.489101,0.95566,0.467414,WATCH,MIXED
2026-07-10T11:07:10.712477+00:00,XRP-USD,4,0.48466,0.95477,0.462739,WATCH,MIXED
2026-07-10T11:07:10.712477+00:00,ADA-USD,5,0.480637,0.953806,0.458435,WATCH,MIXED
2026-07-10T11:07:10.712477+00:00,AAVE-USD,6,0.520257,0.828532,0.43105,WATCH,MIXED
2026-07-10T11:07:10.712477+00:00,SOL-USD,7,0.492465,0.841315,0.414319,WATCH,MIXED
2026-07-10T11:07:10.712477+00:00,DOGE-USD,8,0.413201,0.923378,0.381541,ROTATING_OUT,MIXED
2026-07-10T11:07:10.712477+00:00,BTC-USD,9,0.432586,0.864062,0.373781,ROTATING_OUT,MIXED
2026-07-10T11:07:10.712477+00:00,ETH-USD,10,0.430487,0.864404,0.372114,ROTATING_OUT,MIXED
