asset,sector,tier,feature_vote,rank_vote,backtest_vote,validation_vote,learning_vote,legacy_signal_vote,ensemble_score,confidence,conviction,agreement,evidence_coverage,source_count,direction,ensemble_action,registry_status,trend_state,volatility_state,return_30d,momentum_30d,cross_sectional_rank,source,ensemble_rank
LINK-USD,oracle,EXPANDED,0.530961,0.481693,0.5,0.65,0.41,0.522902,0.513002,0.956944,0.490914,0.856481,1.0,6,NEUTRAL,WATCH,UNREGISTERED,NEUTRAL,LOW,0.0061195709327621,0.0061195709327621,10.0,alpha_ensemble_v5,1
BNB-USD,exchange_ecosystem,EXPANDED,0.524356,0.481791,0.5,0.65,0.41,0.521165,0.510871,0.95708,0.488944,0.856933,1.0,6,NEUTRAL,WATCH,UNREGISTERED,NEUTRAL,LOW,-0.0293339057464199,-0.0293339057464199,9.0,alpha_ensemble_v5,2
AVAX-USD,layer_1,EXPANDED,0.45685,0.482815,0.5,0.65,0.41,0.503419,0.489101,0.95566,0.467414,0.8522,1.0,6,NEUTRAL,WATCH,UNREGISTERED,NEUTRAL,LOW,0.0211535414811077,0.0211535414811077,8.0,alpha_ensemble_v5,3
XRP-USD,payments,EXPANDED,0.443073,0.483031,0.5,0.65,0.41,0.499799,0.48466,0.95477,0.462739,0.849234,1.0,6,NEUTRAL,WATCH,UNREGISTERED,NEUTRAL,LOW,-0.0253699150342439,-0.0253699150342439,7.0,alpha_ensemble_v5,4
ADA-USD,layer_1,EXPANDED,0.430593,0.483227,0.5,0.65,0.41,0.496521,0.480637,0.953806,0.458435,0.846021,1.0,6,NEUTRAL,WATCH,UNREGISTERED,NEUTRAL,NORMAL,0.0147215536800002,0.0147215536800002,6.0,alpha_ensemble_v5,5
AAVE-USD,defi_lending,EXPANDED,0.957439,0.0,0.5,0.65,0.41,0.520257,0.520257,0.828532,0.43105,0.428439,1.0,6,NEUTRAL,WATCH,UNREGISTERED,UPTREND,NORMAL,0.5031621795168055,0.5031621795168055,1.0,alpha_ensemble_v5,6
SOL-USD,layer_1_high_beta,CORE,0.874063,0.0,0.5,0.65,0.41,0.492465,0.492465,0.841315,0.414319,0.471051,1.0,6,NEUTRAL,WATCH,UNREGISTERED,UPTREND,NORMAL,0.2148629424359522,0.2148629424359522,1.0,alpha_ensemble_v5,7
DOGE-USD,retail_sentiment,EXPANDED,0.221213,0.486724,0.5,0.65,0.41,0.44156,0.413201,0.923378,0.381541,0.744594,1.0,6,NEUTRAL,ROTATING_OUT,UNREGISTERED,DOWNTREND,LOW,-0.1281683112155722,-0.1281683112155722,5.0,alpha_ensemble_v5,8
BTC-USD,reserve,CORE,0.612979,0.0,0.5,0.65,0.65,0.436924,0.432586,0.864062,0.373781,0.546872,1.0,6,NEUTRAL,ROTATING_OUT,MAINTAIN,NEUTRAL,NORMAL,0.0376341312814907,0.0376341312814907,1.0,alpha_ensemble_v5,9
ETH-USD,smart_contract,CORE,0.606675,0.0,0.5,0.65,0.65,0.434843,0.430487,0.864404,0.372114,0.548013,1.0,6,NEUTRAL,ROTATING_OUT,MAINTAIN,NEUTRAL,LOW,0.0827702222994428,0.0827702222994428,1.0,alpha_ensemble_v5,10
