asset,side,action,requested_weight,execution_gate,safety_status,risk_label,validation_status,validation_errors,source,reason,execution_batch_id,execution_id,stable_order_key,execution_priority,execution_status,fee_bps,slippage_bps,fee_drag,slippage_drag,total_cost_drag,fill_status,filled_weight,fill_timestamp,broker_route
BTC-USD,LONG,BUY,0.153647,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v3,Optimize current MTM portfolio toward risk-adjusted target portfolio.,eb87d02a-2a32-49ec-b426-ef9d7da77bc7,eb87d02a-2a32-49ec-b426-ef9d7da77bc7::1,BTC-USD:LONG:BUY:0.153647,1,EXECUTED_SIMULATED,8.0,12.0,0.00012292,0.00018438,0.00030729,FILLED_SIMULATED,0.15334,2026-07-09T11:44:12.702136+00:00,paper_broker_v3_ready
ETH-USD,LONG,BUY,0.131163,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v3,Optimize current MTM portfolio toward risk-adjusted target portfolio.,eb87d02a-2a32-49ec-b426-ef9d7da77bc7,eb87d02a-2a32-49ec-b426-ef9d7da77bc7::2,ETH-USD:LONG:BUY:0.131163,2,EXECUTED_SIMULATED,8.0,12.0,0.00010493,0.0001574,0.00026233,FILLED_SIMULATED,0.130901,2026-07-09T11:44:12.702146+00:00,paper_broker_v3_ready
BTC-USD,LONG,BUY,0.153647,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v3,Optimize current MTM portfolio toward risk-adjusted target portfolio.,b91fd037-81e2-4056-bef0-8f9d2cb3c484,b91fd037-81e2-4056-bef0-8f9d2cb3c484::1,BTC-USD:LONG:BUY:0.153647,1,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
ETH-USD,LONG,BUY,0.131163,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v3,Optimize current MTM portfolio toward risk-adjusted target portfolio.,b91fd037-81e2-4056-bef0-8f9d2cb3c484,b91fd037-81e2-4056-bef0-8f9d2cb3c484::2,ETH-USD:LONG:BUY:0.131163,2,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
BTC-USD,LONG,SELL,0.027631,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,27115626-29b8-461b-b981-0fe386c6e41c,27115626-29b8-461b-b981-0fe386c6e41c::1,BTC-USD:LONG:SELL:0.027631,1,EXECUTED_SIMULATED,8.0,12.0,2.21e-05,3.316e-05,5.526e-05,FILLED_SIMULATED,0.027576,2026-07-10T00:38:19.501634+00:00,paper_broker_v3_ready
ETH-USD,LONG,BUY,0.027631,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,27115626-29b8-461b-b981-0fe386c6e41c,27115626-29b8-461b-b981-0fe386c6e41c::2,ETH-USD:LONG:BUY:0.027631,2,EXECUTED_SIMULATED,8.0,12.0,2.21e-05,3.316e-05,5.526e-05,FILLED_SIMULATED,0.027576,2026-07-10T00:38:19.501655+00:00,paper_broker_v3_ready
BTC-USD,LONG,SELL,0.027631,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,6a7adeef-91d1-41eb-84c2-86f9ee0b659a,6a7adeef-91d1-41eb-84c2-86f9ee0b659a::1,BTC-USD:LONG:SELL:0.027631,1,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
ETH-USD,LONG,BUY,0.027631,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,6a7adeef-91d1-41eb-84c2-86f9ee0b659a,6a7adeef-91d1-41eb-84c2-86f9ee0b659a::2,ETH-USD:LONG:BUY:0.027631,2,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
BTC-USD,LONG,SELL,0.027631,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,01586816-32e9-4db9-8691-8f9fa2b7c2be,01586816-32e9-4db9-8691-8f9fa2b7c2be::1,BTC-USD:LONG:SELL:0.027631,1,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
ETH-USD,LONG,BUY,0.027631,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,01586816-32e9-4db9-8691-8f9fa2b7c2be,01586816-32e9-4db9-8691-8f9fa2b7c2be::2,ETH-USD:LONG:BUY:0.027631,2,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
