learning_regime,trend,equity_change_pct,recent_volatility,confidence,source,pnl_pct,sharpe,max_drawdown,return_observations,learning_confidence,reason
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,0.0,0.0,0.05,mtm_equity_curve,,,,,,
flat,flat,,,0.25,performance_v3,0.0,0.0,0.0,29.0,0.41,
flat,flat,,,0.25,performance_v3,0.0,0.0,0.0,30.0,0.41,
flat,flat,,,0.25,performance_v3,0.0,0.0,0.0,32.0,0.41,
flat,flat,,,0.25,performance_v3,0.0,0.0,0.0,33.0,0.41,
flat,flat,,,0.25,performance_v3,0.0,0.0,0.0,34.0,0.41,
flat,flat,,,0.25,performance_v3,0.0,0.0,0.0,35.0,0.41,
flat,flat,,,0.25,performance_v3,0.0,0.0,0.0,36.0,0.41,
flat,flat,,,0.25,performance_v3,0.0,0.0,0.0,37.0,0.41,
flat,flat,,,0.25,performance_v3,0.0,0.0,0.0,38.0,0.41,
improving,positive,,,0.750998,performance_v3,0.7,2.50998,0.0,40.0,0.710599,
deteriorating,negative,,,0.95,performance_v3,0.0,0.860238,-0.411765,42.0,0.83,
insufficient_history,unknown,,,0.05,performance_v3,,,,,0.29,Not enough MTM equity observations for statistical learning.
insufficient_history,unknown,,,0.05,performance_v3,,,,,0.29,Not enough MTM equity observations for statistical learning.
insufficient_history,unknown,,,0.05,performance_v3,,,,,0.29,Not enough MTM equity observations for statistical learning.
insufficient_history,unknown,,,0.05,performance_v3,,,,,0.29,Not enough MTM equity observations for statistical learning.
insufficient_history,unknown,,,0.05,performance_v3,,,,,0.29,Not enough MTM equity observations for statistical learning.
