asset,tier,sector,required_core,enabled,approved,status,observation_count,latest_timestamp,stale_days,latest_close,missing_close_ratio,average_daily_dollar_volume,median_daily_dollar_volume,failure_reasons,source
BTC-USD,CORE,reserve,True,True,True,APPROVED,731,2026-07-15T00:00:00+00:00,0.0,64532.41015625,0.0,46953425812.99,41915744521.0,,market_universe_v1
ETH-USD,CORE,smart_contract,True,True,True,APPROVED,731,2026-07-15T00:00:00+00:00,0.0,1869.3199462890625,0.0,24657443059.39,20845452085.0,,market_universe_v1
SOL-USD,CORE,layer_1_high_beta,True,True,True,APPROVED,731,2026-07-15T00:00:00+00:00,0.0,77.38999938964844,0.0,4724807215.32,3919545873.0,,market_universe_v1
BNB-USD,EXPANDED,exchange_ecosystem,False,True,True,APPROVED,731,2026-07-15T00:00:00+00:00,0.0,576.2899780273438,0.0,2149358143.6,1856118408.0,,market_universe_v1
XRP-USD,EXPANDED,payments,False,True,True,APPROVED,731,2026-07-15T00:00:00+00:00,0.0,1.1035000085830688,0.0,4640283352.8,3284127480.0,,market_universe_v1
LINK-USD,EXPANDED,oracle,False,True,True,APPROVED,731,2026-07-15T00:00:00+00:00,0.0,8.324999809265137,0.0,645993083.12,509473249.0,,market_universe_v1
AVAX-USD,EXPANDED,layer_1,False,True,True,APPROVED,731,2026-07-15T00:00:00+00:00,0.0,6.619999885559082,0.0,475889220.56,351844441.0,,market_universe_v1
SUI-USD,EXPANDED,emerging_layer_1,False,True,False,REJECTED,0,,,0.0,1.0,0.0,0.0,fetch_error:empty_download|insufficient_observations|price_below_minimum|median_dollar_volume_below_minimum|average_dollar_volume_below_minimum|stale_market_data|excessive_missing_close_data,market_universe_v1
AAVE-USD,EXPANDED,defi_lending,False,True,True,APPROVED,731,2026-07-15T00:00:00+00:00,0.0,97.08000183105469,0.0,376073908.08,323208637.0,,market_universe_v1
HYPE-USD,OPTIONAL,derivatives_ecosystem,False,True,False,REJECTED,44,2024-08-27T00:00:00+00:00,687.0,4.999999873689376e-06,0.0,1014.05,574.5,insufficient_observations|price_below_minimum|median_dollar_volume_below_minimum|average_dollar_volume_below_minimum|stale_market_data,market_universe_v1
DOGE-USD,EXPANDED,retail_sentiment,False,True,True,APPROVED,731,2026-07-15T00:00:00+00:00,0.0,0.0738999992609024,0.0,2258793057.61,1436724129.0,,market_universe_v1
ADA-USD,EXPANDED,layer_1,False,True,True,APPROVED,731,2026-07-15T00:00:00+00:00,0.0,0.16300000250339508,0.0,950799995.17,664262311.0,,market_universe_v1
