timestamp,stable_order_key,asset,cash_delta,reason,source
2026-07-10T00:38:19.501634+00:00,BTC-USD:LONG:SELL:0.027631,CASH,2757.6,SELL BTC-USD,paper_broker_v3
2026-07-10T00:38:19.501655+00:00,ETH-USD:LONG:BUY:0.027631,CASH,-2757.6,BUY ETH-USD,paper_broker_v3
2026-07-10T02:11:13.649557+00:00,BTC-USD:LONG:SELL:0.087555,CASH,8738.0,SELL BTC-USD,paper_broker_v3
2026-07-10T02:11:13.649572+00:00,ETH-USD:LONG:SELL:0.087445,CASH,8727.0,SELL ETH-USD,paper_broker_v3
2026-07-10T10:25:14.180126+00:00,BTC-USD:LONG:SELL:0.175028,CASH,17467.8,SELL BTC-USD,paper_broker_v3
2026-07-10T10:25:14.180148+00:00,ETH-USD:LONG:SELL:0.174973,CASH,17462.3,SELL ETH-USD,paper_broker_v3
2026-07-10T11:14:27.835843+00:00,BNB-USD:LONG:BUY:0.080607,CASH,-8044.6,BUY BNB-USD,paper_broker_v3
2026-07-10T11:14:27.835872+00:00,BTC-USD:LONG:SELL:0.094246,CASH,9405.8,SELL BTC-USD,paper_broker_v3
2026-07-10T11:14:27.835885+00:00,ETH-USD:LONG:SELL:0.094216,CASH,9402.8,SELL ETH-USD,paper_broker_v3
2026-07-10T11:14:27.835895+00:00,LINK-USD:LONG:BUY:0.080932,CASH,-8077.0,BUY LINK-USD,paper_broker_v3
