filled_at,execution_batch_id,idempotency_key,target_key,asset,side,action,requested_weight,filled_weight,fill_status,broker,route,risk_label,safety_approved,notes,timestamp,stable_order_key,notional_value,fee_drag,slippage_drag,total_cost_drag,source
2026-07-09T07:17:00.080611+00:00,b3d68a27-b1f6-4aca-a5c2-d01928c416c3,b3d68a27-b1f6-4aca-a5c2-d01928c416c3:BTC-USD:LONG:BUY:0.223984,BTC-USD:LONG:BUY:0.223984,BTC-USD,LONG,BUY,0.223984,0.223984,PAPER_FILLED,paper,paper_execution_route,moderate_risk,True,Paper Broker v2 target-idempotent simulated fill.,,,,,,,
2026-07-09T07:17:00.080611+00:00,b3d68a27-b1f6-4aca-a5c2-d01928c416c3,b3d68a27-b1f6-4aca-a5c2-d01928c416c3:ETH-USD:LONG:BUY:0.191206,ETH-USD:LONG:BUY:0.191206,ETH-USD,LONG,BUY,0.191206,0.191206,PAPER_FILLED,paper,paper_execution_route,moderate_risk,True,Paper Broker v2 target-idempotent simulated fill.,,,,,,,
2026-07-09T11:15:01.164419+00:00,0b9d9494-331b-42d2-9f4c-a9fbd348a055,0b9d9494-331b-42d2-9f4c-a9fbd348a055:BTC-USD:LONG:BUY:0.153647,BTC-USD:LONG:BUY:0.153647,BTC-USD,LONG,BUY,0.153647,0.153647,PAPER_FILLED,paper,paper_execution_route,low_risk,True,Paper Broker v2 target-idempotent simulated fill.,,,,,,,
2026-07-09T11:15:01.164419+00:00,0b9d9494-331b-42d2-9f4c-a9fbd348a055,0b9d9494-331b-42d2-9f4c-a9fbd348a055:ETH-USD:LONG:BUY:0.131163,ETH-USD:LONG:BUY:0.131163,ETH-USD,LONG,BUY,0.131163,0.131163,PAPER_FILLED,paper,paper_execution_route,low_risk,True,Paper Broker v2 target-idempotent simulated fill.,,,,,,,
,,,,BTC-USD,LONG,SELL,,0.027576,,,,,,,2026-07-10T00:38:19.501634+00:00,BTC-USD:LONG:SELL:0.027631,2757.6,2.21e-05,3.316e-05,5.526e-05,paper_broker_v3
,,,,ETH-USD,LONG,BUY,,0.027576,,,,,,,2026-07-10T00:38:19.501655+00:00,ETH-USD:LONG:BUY:0.027631,2757.6,2.21e-05,3.316e-05,5.526e-05,paper_broker_v3
,,,,BTC-USD,LONG,SELL,,0.08738,,,,,,,2026-07-10T02:11:13.649557+00:00,BTC-USD:LONG:SELL:0.087555,8738.0,7.004e-05,0.00010507,0.00017511,paper_broker_v3
,,,,ETH-USD,LONG,SELL,,0.08727,,,,,,,2026-07-10T02:11:13.649572+00:00,ETH-USD:LONG:SELL:0.087445,8727.0,6.996e-05,0.00010493,0.00017489,paper_broker_v3
,,,,BTC-USD,LONG,SELL,,0.174678,,,,,,,2026-07-10T10:25:14.180126+00:00,BTC-USD:LONG:SELL:0.175028,17467.8,0.00014002,0.00021003,0.00035006,paper_broker_v3
,,,,ETH-USD,LONG,SELL,,0.174623,,,,,,,2026-07-10T10:25:14.180148+00:00,ETH-USD:LONG:SELL:0.174973,17462.3,0.00013998,0.00020997,0.00034995,paper_broker_v3
,,,,BNB-USD,LONG,BUY,,0.080446,,,,,,,2026-07-10T11:14:27.835843+00:00,BNB-USD:LONG:BUY:0.080607,8044.6,6.449e-05,9.673e-05,0.00016121,paper_broker_v3
,,,,BTC-USD,LONG,SELL,,0.094058,,,,,,,2026-07-10T11:14:27.835872+00:00,BTC-USD:LONG:SELL:0.094246,9405.8,7.54e-05,0.0001131,0.00018849,paper_broker_v3
,,,,ETH-USD,LONG,SELL,,0.094028,,,,,,,2026-07-10T11:14:27.835885+00:00,ETH-USD:LONG:SELL:0.094216,9402.8,7.537e-05,0.00011306,0.00018843,paper_broker_v3
,,,,LINK-USD,LONG,BUY,,0.08077,,,,,,,2026-07-10T11:14:27.835895+00:00,LINK-USD:LONG:BUY:0.080932,8077.0,6.475e-05,9.712e-05,0.00016186,paper_broker_v3
