asset,timeframe,row_count,minimum_rows,healthy,earliest_timestamp,latest_timestamp,existing_rows,downloaded_rows,path,provider
BTC-USD,1d,1827,700,True,2021-07-10T00:00:00+00:00,2026-07-10T00:00:00+00:00,0,1827,data\market_prices\BTC-USD\1d.csv,yfinance
BTC-USD,1h,17470,1000,True,2024-07-11T00:00:00+00:00,2026-07-10T06:00:00+00:00,0,17470,data\market_prices\BTC-USD\1h.csv,yfinance
BTC-USD,15m,5692,500,True,2026-05-12T00:00:00+00:00,2026-07-10T06:45:00+00:00,0,5692,data\market_prices\BTC-USD\15m.csv,yfinance
ETH-USD,1d,1827,700,True,2021-07-10T00:00:00+00:00,2026-07-10T00:00:00+00:00,0,1827,data\market_prices\ETH-USD\1d.csv,yfinance
ETH-USD,1h,17467,1000,True,2024-07-11T00:00:00+00:00,2026-07-10T06:00:00+00:00,0,17467,data\market_prices\ETH-USD\1h.csv,yfinance
ETH-USD,15m,5692,500,True,2026-05-12T00:00:00+00:00,2026-07-10T06:45:00+00:00,0,5692,data\market_prices\ETH-USD\15m.csv,yfinance
SOL-USD,1d,1827,700,True,2021-07-10T00:00:00+00:00,2026-07-10T00:00:00+00:00,0,1827,data\market_prices\SOL-USD\1d.csv,yfinance
SOL-USD,1h,17469,1000,True,2024-07-11T00:00:00+00:00,2026-07-10T06:00:00+00:00,0,17469,data\market_prices\SOL-USD\1h.csv,yfinance
SOL-USD,15m,5692,500,True,2026-05-12T00:00:00+00:00,2026-07-10T06:45:00+00:00,0,5692,data\market_prices\SOL-USD\15m.csv,yfinance
BNB-USD,1d,1827,700,True,2021-07-10T00:00:00+00:00,2026-07-10T00:00:00+00:00,0,1827,data\market_prices\BNB-USD\1d.csv,yfinance
BNB-USD,1h,17470,1000,True,2024-07-11T00:00:00+00:00,2026-07-10T06:00:00+00:00,0,17470,data\market_prices\BNB-USD\1h.csv,yfinance
BNB-USD,15m,5692,500,True,2026-05-12T00:00:00+00:00,2026-07-10T06:45:00+00:00,0,5692,data\market_prices\BNB-USD\15m.csv,yfinance
XRP-USD,1d,1827,700,True,2021-07-10T00:00:00+00:00,2026-07-10T00:00:00+00:00,0,1827,data\market_prices\XRP-USD\1d.csv,yfinance
XRP-USD,1h,17470,1000,True,2024-07-11T00:00:00+00:00,2026-07-10T06:00:00+00:00,0,17470,data\market_prices\XRP-USD\1h.csv,yfinance
XRP-USD,15m,5692,500,True,2026-05-12T00:00:00+00:00,2026-07-10T06:45:00+00:00,0,5692,data\market_prices\XRP-USD\15m.csv,yfinance
LINK-USD,1d,1827,700,True,2021-07-10T00:00:00+00:00,2026-07-10T00:00:00+00:00,0,1827,data\market_prices\LINK-USD\1d.csv,yfinance
LINK-USD,1h,17467,1000,True,2024-07-11T00:00:00+00:00,2026-07-10T06:00:00+00:00,0,17467,data\market_prices\LINK-USD\1h.csv,yfinance
LINK-USD,15m,5692,500,True,2026-05-12T00:00:00+00:00,2026-07-10T06:45:00+00:00,0,5692,data\market_prices\LINK-USD\15m.csv,yfinance
AVAX-USD,1d,1827,700,True,2021-07-10T00:00:00+00:00,2026-07-10T00:00:00+00:00,0,1827,data\market_prices\AVAX-USD\1d.csv,yfinance
AVAX-USD,1h,17467,1000,True,2024-07-11T00:00:00+00:00,2026-07-10T06:00:00+00:00,0,17467,data\market_prices\AVAX-USD\1h.csv,yfinance
AVAX-USD,15m,5692,500,True,2026-05-12T00:00:00+00:00,2026-07-10T06:45:00+00:00,0,5692,data\market_prices\AVAX-USD\15m.csv,yfinance
AAVE-USD,1d,1827,700,True,2021-07-10T00:00:00+00:00,2026-07-10T00:00:00+00:00,0,1827,data\market_prices\AAVE-USD\1d.csv,yfinance
AAVE-USD,1h,17468,1000,True,2024-07-11T00:00:00+00:00,2026-07-10T06:00:00+00:00,0,17468,data\market_prices\AAVE-USD\1h.csv,yfinance
AAVE-USD,15m,5692,500,True,2026-05-12T00:00:00+00:00,2026-07-10T06:45:00+00:00,0,5692,data\market_prices\AAVE-USD\15m.csv,yfinance
DOGE-USD,1d,1827,700,True,2021-07-10T00:00:00+00:00,2026-07-10T00:00:00+00:00,0,1827,data\market_prices\DOGE-USD\1d.csv,yfinance
DOGE-USD,1h,17468,1000,True,2024-07-11T00:00:00+00:00,2026-07-10T06:00:00+00:00,0,17468,data\market_prices\DOGE-USD\1h.csv,yfinance
DOGE-USD,15m,5692,500,True,2026-05-12T00:00:00+00:00,2026-07-10T06:45:00+00:00,0,5692,data\market_prices\DOGE-USD\15m.csv,yfinance
ADA-USD,1d,1827,700,True,2021-07-10T00:00:00+00:00,2026-07-10T00:00:00+00:00,0,1827,data\market_prices\ADA-USD\1d.csv,yfinance
ADA-USD,1h,17467,1000,True,2024-07-11T00:00:00+00:00,2026-07-10T06:00:00+00:00,0,17467,data\market_prices\ADA-USD\1h.csv,yfinance
ADA-USD,15m,5692,500,True,2026-05-12T00:00:00+00:00,2026-07-10T06:45:00+00:00,0,5692,data\market_prices\ADA-USD\15m.csv,yfinance
