association_role,behavior_annotation_status,behavior_observation_count,birth_time_known,documented_behaviors,eligible_as_behavior_negative,feature_families,independence_groups,needs_behavior_annotation,profile_key,symbolic_feature_count,symbolic_feature_ready
predictor_only_not_an_outcome_control,missing_behavior_observations,0,False,[],False,"[""gematria"", ""kamea"", ""numerology"", ""vedic""]","[""birth_and_name_input"", ""birth_input"", ""name_input""]",True,aaron_beck,42,True
predictor_only_not_an_outcome_control,missing_behavior_observations,0,False,[],False,"[""gematria"", ""kamea"", ""numerology"", ""vedic""]","[""birth_and_name_input"", ""birth_input"", ""name_input""]",True,aaron_ciechanover_q233205,42,True
predictor_only_not_an_outcome_control,missing_behavior_observations,0,False,[],False,"[""gematria"", ""kamea"", ""numerology"", ""vedic""]","[""birth_and_name_input"", ""birth_input"", ""name_input""]",True,aaron_copland_q192185,42,True
predictor_only_not_an_outcome_control,missing_behavior_observations,0,False,[],False,"[""gematria"", ""kamea"", ""numerology"", ""vedic""]","[""birth_and_name_input"", ""birth_input"", ""name_input""]",True,aaron_klug_q190626,42,True
predictor_only_not_an_outcome_control,missing_behavior_observations,0,False,[],False,"[""gematria"", ""kamea"", ""numerology"", ""vedic""]","[""birth_and_name_input"", ""birth_input"", ""name_input""]",True,aaron_rathborne_q18874807,42,True
predictor_only_not_an_outcome_control,missing_behavior_observations,0,False,[],False,"[""gematria"", ""kamea"", ""numerology""]","[""name_input""]",True,abba_mari_ben_eligdor_q4663651,18,True
predictor_only_not_an_outcome_control,missing_behavior_observations,0,False,[],False,"[""gematria"", ""kamea"", ""numerology""]","[""name_input""]",True,abba_mari_halfon_q30526969,18,True
predictor_only_not_an_outcome_control,missing_behavior_observations,0,False,[],False,"[""gematria"", ""kamea"", ""numerology"", ""vedic""]","[""birth_and_name_input"", ""birth_input"", ""name_input""]",True,abd_al_karim_qasim_q299732,42,True
predictor_only_not_an_outcome_control,missing_behavior_observations,0,False,[],False,"[""gematria"", ""kamea"", ""numerology"", ""vedic""]","[""birth_input"", ""name_input""]",True,abd_ar_razzaq_al_issa_q29512376,36,True
predictor_only_not_an_outcome_control,missing_behavior_observations,0,False,[],False,"[""gematria"", ""kamea"", ""numerology"", ""vedic""]","[""birth_input"", ""name_input""]",True,abdelkader_perez_q307964,36,True
