birth_time_known,errors,families,feature_count,houses_included,independence_groups,profile_key,success,warnings
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",aaron_beck,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",aaron_ciechanover_q233205,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",aaron_copland_q192185,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",aaron_klug_q190626,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",aaron_rathborne_q18874807,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology""]",18,False,"[""name_input""]",abba_mari_ben_eligdor_q4663651,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology""]",18,False,"[""name_input""]",abba_mari_halfon_q30526969,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",abd_al_karim_qasim_q299732,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",36,False,"[""birth_input"", ""name_input""]",abd_ar_razzaq_al_issa_q29512376,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",36,False,"[""birth_input"", ""name_input""]",abdelkader_perez_q307964,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",36,False,"[""birth_input"", ""name_input""]",abdigani_diriye_q62081681,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",abdul_aziz_bin_haji_jaafar_q12681876,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",abdul_rahman_ibrahima_sori_q3825124,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",abdullah_al_ahdal_q2821438,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",36,False,"[""birth_input"", ""name_input""]",abdullah_yusuf_azzam_q307613,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",abdus_salam,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",abdülhakîm_arvâsî_q318015,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",abebe_aregai_q318222,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",abel_buell_q4666542,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",abhijit_banerjee_q320578,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology""]",18,False,"[""name_input""]",abhik_roychoudhury_q102264148,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",36,False,"[""birth_input"", ""name_input""]",abraham_ibn_ezra_q270670,True,"[""Birth time unknown; houses and angles are excluded.""]"
True,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",abraham_lincoln,True,[]
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",abraham_mapu_q330301,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",abraham_maslow,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",abram_anikst_q4066264,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",abu_bakar_bin_abdul_jamal_q4670082,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",abubakar_tafawa_balewa_q335684,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",36,False,"[""birth_input"", ""name_input""]",abul_qasim_ibn_mohammed_al_ghassani_q4670605,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology""]",18,False,"[""name_input""]",achola_pala_q117976940,True,"[""Birth time unknown; houses and angles are excluded.""]"
True,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",ada_lovelace,True,[]
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",ada_yonath_q7426,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",adah_almutairi_q16125107,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",adam_guettel_q4679169,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",adam_kraft_q350212,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",adam_riess_q106454,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",36,False,"[""birth_input"", ""name_input""]",adherbal_q356605,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",adnan_menderes_q238745,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",adolf_butenandt_q5327,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",adolf_rudnicki_q2713071,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",adolf_von_baeyer_q57078,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",adolph_green_q329849,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",adolph_modéer_q2824743,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",aelia_eudocia_q229307,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology""]",18,False,"[""name_input""]",afwa_thameur_q57249777,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",agatha_christie,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",agathe_uwilingiyimana_q243047,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",agdanbuugyn_amar_q45281,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",agostino_paravicini_bagliani_q3606806,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology""]",18,False,"[""name_input""]",ahmad_ibn_abi_khalid_al_ahwal_q11904462,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",ahmad_maher_pasha_q1572537,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",36,False,"[""birth_input"", ""name_input""]",ahmad_salim_uld_sidi_q29549453,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology""]",18,False,"[""name_input""]",ahmed_al_harrasi_q96014667,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",ahmed_k_elmagarmid_q1834734,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",36,False,"[""birth_input"", ""name_input""]",ahmed_shahe_durrani_q46798,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",ahmed_timol_q16007149,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",ahmed_zewail_q106624,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",ai_weiwei,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",aida_fernández_ríos_q21997886,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",aidar_akayev_q4059278,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",aini_ideris_q56224098,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology""]",18,False,"[""name_input""]",aistis_raudys_q137554619,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",akio_morita,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",aklilu_habte_wold_q420192,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",akong_rinpoche_q420512,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",al_dubin_q180899,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",al_ghazali,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",al_hoffman_q2829347,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology""]",18,False,"[""name_input""]",al_jaldaki_q4164868,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",al_kasha_q570352,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",36,False,"[""birth_input"", ""name_input""]",al_khazini_q2991836,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",36,False,"[""birth_input"", ""name_input""]",al_tughrai_q4164865,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",aladdin_al_droubi_q4171150,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",alain_boublil_q284540,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",alan_j_heeger_q106751,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",alan_macdiarmid_q110942,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology""]",18,False,"[""name_input""]",alan_mathison_turing,True,"[""Birth time unknown; houses and angles are excluded.""]"
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",alan_orr_anderson_q2830568,True,"[""Birth time unknown; houses and angles are excluded.""]"
True,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",alan_turing,True,[]
False,[],"[""gematria"", ""kamea"", ""numerology"", ""vedic""]",42,False,"[""birth_and_name_input"", ""birth_input"", ""name_input""]",alan_watts,True,"[""Birth time unknown; houses and angles are excluded.""]"
