claim_type,empirical_evidence,feature_family,feature_id,independence_group,input_dependencies,profile_key,source_path,value,value_type
deterministic_symbolic_feature,False,vedic,vedic.sun.sign,birth_input,"[""birth_date"", ""birth_place""]",aaron_beck,temporal.natal.sidereal.planets.Sun.sign,Cancer,categorical
deterministic_symbolic_feature,False,vedic,vedic.sun.retrograde,birth_input,"[""birth_date""]",aaron_beck,temporal.natal.sidereal.planets.Sun.retrograde,False,categorical
deterministic_symbolic_feature,False,vedic,vedic.moon.sign,birth_input,"[""birth_date"", ""birth_place""]",aaron_beck,temporal.natal.sidereal.planets.Moon.sign,Sagittarius,categorical
deterministic_symbolic_feature,False,vedic,vedic.moon.retrograde,birth_input,"[""birth_date""]",aaron_beck,temporal.natal.sidereal.planets.Moon.retrograde,False,categorical
deterministic_symbolic_feature,False,vedic,vedic.mercury.sign,birth_input,"[""birth_date"", ""birth_place""]",aaron_beck,temporal.natal.sidereal.planets.Mercury.sign,Gemini,categorical
deterministic_symbolic_feature,False,vedic,vedic.mercury.retrograde,birth_input,"[""birth_date""]",aaron_beck,temporal.natal.sidereal.planets.Mercury.retrograde,True,categorical
deterministic_symbolic_feature,False,vedic,vedic.venus.sign,birth_input,"[""birth_date"", ""birth_place""]",aaron_beck,temporal.natal.sidereal.planets.Venus.sign,Taurus,categorical
deterministic_symbolic_feature,False,vedic,vedic.venus.retrograde,birth_input,"[""birth_date""]",aaron_beck,temporal.natal.sidereal.planets.Venus.retrograde,False,categorical
deterministic_symbolic_feature,False,vedic,vedic.mars.sign,birth_input,"[""birth_date"", ""birth_place""]",aaron_beck,temporal.natal.sidereal.planets.Mars.sign,Gemini,categorical
deterministic_symbolic_feature,False,vedic,vedic.mars.retrograde,birth_input,"[""birth_date""]",aaron_beck,temporal.natal.sidereal.planets.Mars.retrograde,False,categorical
deterministic_symbolic_feature,False,vedic,vedic.jupiter.sign,birth_input,"[""birth_date"", ""birth_place""]",aaron_beck,temporal.natal.sidereal.planets.Jupiter.sign,Leo,categorical
deterministic_symbolic_feature,False,vedic,vedic.jupiter.retrograde,birth_input,"[""birth_date""]",aaron_beck,temporal.natal.sidereal.planets.Jupiter.retrograde,False,categorical
deterministic_symbolic_feature,False,vedic,vedic.saturn.sign,birth_input,"[""birth_date"", ""birth_place""]",aaron_beck,temporal.natal.sidereal.planets.Saturn.sign,Leo,categorical
deterministic_symbolic_feature,False,vedic,vedic.saturn.retrograde,birth_input,"[""birth_date""]",aaron_beck,temporal.natal.sidereal.planets.Saturn.retrograde,False,categorical
deterministic_symbolic_feature,False,vedic,vedic.rahu.sign,birth_input,"[""birth_date"", ""birth_place""]",aaron_beck,temporal.natal.sidereal.planets.Rahu.sign,Virgo,categorical
deterministic_symbolic_feature,False,vedic,vedic.rahu.retrograde,birth_input,"[""birth_date""]",aaron_beck,temporal.natal.sidereal.planets.Rahu.retrograde,True,categorical
deterministic_symbolic_feature,False,vedic,vedic.ketu.sign,birth_input,"[""birth_date"", ""birth_place""]",aaron_beck,temporal.natal.sidereal.planets.Ketu.sign,Pisces,categorical
deterministic_symbolic_feature,False,vedic,vedic.ketu.retrograde,birth_input,"[""birth_date""]",aaron_beck,temporal.natal.sidereal.planets.Ketu.retrograde,True,categorical
deterministic_symbolic_feature,False,numerology,numerology.life_path.number,birth_input,"[""birth_date""]",aaron_beck,symbolic_profile.numerology.core_numbers.life_path.number,11,categorical
deterministic_symbolic_feature,False,numerology,numerology.birthday.number,birth_input,"[""birth_date""]",aaron_beck,symbolic_profile.numerology.core_numbers.birthday.number,9,categorical
deterministic_symbolic_feature,False,numerology,numerology.attitude.number,birth_input,"[""birth_date""]",aaron_beck,symbolic_profile.numerology.core_numbers.attitude.number,7,categorical
deterministic_symbolic_feature,False,numerology,numerology.birth_month.number,birth_input,"[""birth_date""]",aaron_beck,symbolic_profile.numerology.core_numbers.birth_month.number,7,categorical
deterministic_symbolic_feature,False,numerology,numerology.birth_year.number,birth_input,"[""birth_date""]",aaron_beck,symbolic_profile.numerology.core_numbers.birth_year.number,4,categorical
deterministic_symbolic_feature,False,numerology,numerology.expression.number,name_input,"[""recorded_name""]",aaron_beck,symbolic_profile.numerology.core_numbers.expression.number,7,categorical
deterministic_symbolic_feature,False,numerology,numerology.soul_urge.number,name_input,"[""recorded_name""]",aaron_beck,symbolic_profile.numerology.core_numbers.soul_urge.number,4,categorical
deterministic_symbolic_feature,False,numerology,numerology.personality.number,name_input,"[""recorded_name""]",aaron_beck,symbolic_profile.numerology.core_numbers.personality.number,3,categorical
deterministic_symbolic_feature,False,numerology,numerology.balance.number,name_input,"[""recorded_name""]",aaron_beck,symbolic_profile.numerology.core_numbers.balance.number,3,categorical
