annotation_blinded,association_id,behavior_feature_rate,behavior_id,behavior_mean,behavior_profile_count,behavior_profiles,causal_claim,comparison_feature_rate,comparison_mean,confidence_interval_95,contingency_table,contrast_definition,corrected_p_value,corrected_significance,decision,effect_size,evidence_kind,feature_family,feature_id,feature_value,independence_group,input_dependencies,odds_ratio,permutation_iterations,profile_count,raw_p_value,replication_status,standardized_effect,sufficiently_powered,test_type
False,decisive_action_under_pressure:gematria.cross_system.distinct_root_count,,decisive_action_under_pressure,3.0,1,"[""neil_armstrong""]",False,,2.75,,,Profiles with this documented behavior versus other profiles in the documented pilot; comparison does not mean behavioral absence.,1.0,False,not_retained_underpowered_nonsignificant_or_unblinded,0.25,exploratory_statistical_association,gematria,gematria.cross_system.distinct_root_count,,name_input,"[""recorded_name""]",,5000,5,1.0,unreplicated_pilot,0.5,False,permutation_mean_difference
False,decisive_action_under_pressure:gematria.hebrew_literal.digital_root=1,0.0,decisive_action_under_pressure,,1,"[""neil_armstrong""]",False,0.25,,"[0.018686, 32.373796]","{""behavior_and_feature"": 0, ""behavior_without_feature"": 1, ""comparison_and_feature"": 1, ""comparison_without_feature"": 3}",Profiles with this documented behavior versus other profiles in the documented pilot; comparison does not mean behavioral absence.,1.0,False,not_retained_underpowered_nonsignificant_or_unblinded,-0.25,exploratory_statistical_association,gematria,gematria.hebrew_literal.digital_root,1,name_input,"[""recorded_name""]",0.777778,,5,1.0,unreplicated_pilot,,False,fisher_exact_categorical
False,decisive_action_under_pressure:gematria.hebrew_literal.digital_root=2,0.0,decisive_action_under_pressure,,1,"[""neil_armstrong""]",False,0.25,,"[0.018686, 32.373796]","{""behavior_and_feature"": 0, ""behavior_without_feature"": 1, ""comparison_and_feature"": 1, ""comparison_without_feature"": 3}",Profiles with this documented behavior versus other profiles in the documented pilot; comparison does not mean behavioral absence.,1.0,False,not_retained_underpowered_nonsignificant_or_unblinded,-0.25,exploratory_statistical_association,gematria,gematria.hebrew_literal.digital_root,2,name_input,"[""recorded_name""]",0.777778,,5,1.0,unreplicated_pilot,,False,fisher_exact_categorical
False,decisive_action_under_pressure:gematria.hebrew_literal.digital_root=3,1.0,decisive_action_under_pressure,,1,"[""neil_armstrong""]",False,0.0,,"[0.354203, 2058.144084]","{""behavior_and_feature"": 1, ""behavior_without_feature"": 0, ""comparison_and_feature"": 0, ""comparison_without_feature"": 4}",Profiles with this documented behavior versus other profiles in the documented pilot; comparison does not mean behavioral absence.,1.0,False,not_retained_underpowered_nonsignificant_or_unblinded,1.0,exploratory_statistical_association,gematria,gematria.hebrew_literal.digital_root,3,name_input,"[""recorded_name""]",27.0,,5,0.2,unreplicated_pilot,,False,fisher_exact_categorical
False,decisive_action_under_pressure:gematria.hebrew_literal.digital_root=5,0.0,decisive_action_under_pressure,,1,"[""neil_armstrong""]",False,0.25,,"[0.018686, 32.373796]","{""behavior_and_feature"": 0, ""behavior_without_feature"": 1, ""comparison_and_feature"": 1, ""comparison_without_feature"": 3}",Profiles with this documented behavior versus other profiles in the documented pilot; comparison does not mean behavioral absence.,1.0,False,not_retained_underpowered_nonsignificant_or_unblinded,-0.25,exploratory_statistical_association,gematria,gematria.hebrew_literal.digital_root,5,name_input,"[""recorded_name""]",0.777778,,5,1.0,unreplicated_pilot,,False,fisher_exact_categorical
False,decisive_action_under_pressure:gematria.hebrew_literal.digital_root=9,0.0,decisive_action_under_pressure,,1,"[""neil_armstrong""]",False,0.25,,"[0.018686, 32.373796]","{""behavior_and_feature"": 0, ""behavior_without_feature"": 1, ""comparison_and_feature"": 1, ""comparison_without_feature"": 3}",Profiles with this documented behavior versus other profiles in the documented pilot; comparison does not mean behavioral absence.,1.0,False,not_retained_underpowered_nonsignificant_or_unblinded,-0.25,exploratory_statistical_association,gematria,gematria.hebrew_literal.digital_root,9,name_input,"[""recorded_name""]",0.777778,,5,1.0,unreplicated_pilot,,False,fisher_exact_categorical
False,decisive_action_under_pressure:gematria.hebrew_phonetic.digital_root=1,0.0,decisive_action_under_pressure,,1,"[""neil_armstrong""]",False,0.25,,"[0.018686, 32.373796]","{""behavior_and_feature"": 0, ""behavior_without_feature"": 1, ""comparison_and_feature"": 1, ""comparison_without_feature"": 3}",Profiles with this documented behavior versus other profiles in the documented pilot; comparison does not mean behavioral absence.,1.0,False,not_retained_underpowered_nonsignificant_or_unblinded,-0.25,exploratory_statistical_association,gematria,gematria.hebrew_phonetic.digital_root,1,name_input,"[""recorded_name""]",0.777778,,5,1.0,unreplicated_pilot,,False,fisher_exact_categorical
False,decisive_action_under_pressure:gematria.hebrew_phonetic.digital_root=2,0.0,decisive_action_under_pressure,,1,"[""neil_armstrong""]",False,0.25,,"[0.018686, 32.373796]","{""behavior_and_feature"": 0, ""behavior_without_feature"": 1, ""comparison_and_feature"": 1, ""comparison_without_feature"": 3}",Profiles with this documented behavior versus other profiles in the documented pilot; comparison does not mean behavioral absence.,1.0,False,not_retained_underpowered_nonsignificant_or_unblinded,-0.25,exploratory_statistical_association,gematria,gematria.hebrew_phonetic.digital_root,2,name_input,"[""recorded_name""]",0.777778,,5,1.0,unreplicated_pilot,,False,fisher_exact_categorical
False,decisive_action_under_pressure:gematria.hebrew_phonetic.digital_root=3,0.0,decisive_action_under_pressure,,1,"[""neil_armstrong""]",False,0.25,,"[0.018686, 32.373796]","{""behavior_and_feature"": 0, ""behavior_without_feature"": 1, ""comparison_and_feature"": 1, ""comparison_without_feature"": 3}",Profiles with this documented behavior versus other profiles in the documented pilot; comparison does not mean behavioral absence.,1.0,False,not_retained_underpowered_nonsignificant_or_unblinded,-0.25,exploratory_statistical_association,gematria,gematria.hebrew_phonetic.digital_root,3,name_input,"[""recorded_name""]",0.777778,,5,1.0,unreplicated_pilot,,False,fisher_exact_categorical
False,decisive_action_under_pressure:gematria.hebrew_phonetic.digital_root=9,1.0,decisive_action_under_pressure,,1,"[""neil_armstrong""]",False,0.25,,"[0.168174, 291.36416]","{""behavior_and_feature"": 1, ""behavior_without_feature"": 0, ""comparison_and_feature"": 1, ""comparison_without_feature"": 3}",Profiles with this documented behavior versus other profiles in the documented pilot; comparison does not mean behavioral absence.,1.0,False,not_retained_underpowered_nonsignificant_or_unblinded,0.75,exploratory_statistical_association,gematria,gematria.hebrew_phonetic.digital_root,9,name_input,"[""recorded_name""]",7.0,,5,0.4,unreplicated_pilot,,False,fisher_exact_categorical
