name,birth_date,birth_time,birth_place
Leonardo da Vinci,1452-04-15,Unknown,"Vinci, Italy"
Michelangelo,1475-03-06,Unknown,"Caprese, Italy"
Raphael,1483-04-06,Unknown,"Urbino, Italy"
Sandro Botticelli,1445-03-01,Unknown,"Florence, Italy"
Titian,1488-01-01,Unknown,"Pieve di Cadore, Italy"
Caravaggio,1571-09-29,Unknown,"Milan, Italy"
Rembrandt,1606-07-15,Unknown,"Leiden, Netherlands"
Johannes Vermeer,1632-10-31,Unknown,"Delft, Netherlands"
Francisco Goya,1746-03-30,Unknown,"Fuendetodos, Spain"
J. M. W. Turner,1775-04-23,Unknown,"London, England"
John Constable,1776-06-11,Unknown,"East Bergholt, England"
Eugène Delacroix,1798-04-26,Unknown,"Charenton, France"
Claude Monet,1840-11-14,Unknown,"Paris, France"
Édouard Manet,1832-01-23,Unknown,"Paris, France"
Edgar Degas,1834-07-19,Unknown,"Paris, France"
Pierre-Auguste Renoir,1841-02-25,Unknown,"Limoges, France"
Paul Cézanne,1839-01-19,Unknown,"Aix-en-Provence, France"
Paul Gauguin,1848-06-07,Unknown,"Paris, France"
Vincent van Gogh,1853-03-30,Unknown,"Zundert, Netherlands"
Henri de Toulouse-Lautrec,1864-11-24,Unknown,"Albi, France"
Henri Matisse,1869-12-31,Unknown,"Le Cateau-Cambrésis, France"
Gustav Klimt,1862-07-14,Unknown,"Baumgarten, Austria"
Edvard Munch,1863-12-12,Unknown,"Løten, Norway"
Wassily Kandinsky,1866-12-16,Unknown,"Moscow, Russia"
Piet Mondrian,1872-03-07,Unknown,"Amersfoort, Netherlands"
Kazimir Malevich,1879-02-23,Unknown,"Kyiv, Ukraine"
Georges Braque,1882-05-13,Unknown,"Argenteuil, France"
Pablo Picasso,1881-10-25,Unknown,"Málaga, Spain"
Joan Miró,1893-04-20,Unknown,"Barcelona, Spain"
Salvador Dalí,1904-05-11,Unknown,"Figueres, Spain"
Frida Kahlo,1907-07-06,Unknown,"Coyoacán, Mexico"
Diego Rivera,1886-12-08,Unknown,"Guanajuato, Mexico"
Jackson Pollock,1912-01-28,Unknown,"Cody, Wyoming, USA"
Mark Rothko,1903-09-25,Unknown,"Daugavpils, Latvia"
Andy Warhol,1928-08-06,Unknown,"Pittsburgh, Pennsylvania, USA"
Roy Lichtenstein,1923-10-27,Unknown,"New York City, New York, USA"
Jean-Michel Basquiat,1960-12-22,Unknown,"Brooklyn, New York, USA"
Keith Haring,1958-05-04,Unknown,"Reading, Pennsylvania, USA"
Banksy,1974-01-01,Unknown,"Bristol, England"
Ai Weiwei,1957-08-28,Unknown,"Beijing, China"
Ludwig van Beethoven,1770-12-17,Unknown,"Bonn, Germany"
Wolfgang Amadeus Mozart,1756-01-27,Unknown,"Salzburg, Austria"
Johann Sebastian Bach,1685-03-31,Unknown,"Eisenach, Germany"
George Frideric Handel,1685-02-23,Unknown,"Halle, Germany"
Joseph Haydn,1732-03-31,Unknown,"Rohrau, Austria"
Franz Schubert,1797-01-31,Unknown,"Vienna, Austria"
Frédéric Chopin,1810-03-01,Unknown,"Żelazowa Wola, Poland"
Franz Liszt,1811-10-22,Unknown,"Raiding, Austria"
Richard Wagner,1813-05-22,Unknown,"Leipzig, Germany"
Johannes Brahms,1833-05-07,Unknown,"Hamburg, Germany"
Pyotr Ilyich Tchaikovsky,1840-05-07,Unknown,"Votkinsk, Russia"
Antonín Dvořák,1841-09-08,Unknown,"Nelahozeves, Czech Republic"
Claude Debussy,1862-08-22,Unknown,"Saint-Germain-en-Laye, France"
Maurice Ravel,1875-03-07,Unknown,"Ciboure, France"
Igor Stravinsky,1882-06-17,Unknown,"Oranienbaum, Russia"
Sergei Rachmaninoff,1873-04-01,Unknown,"Semyonovo, Russia"
Duke Ellington,1899-04-29,Unknown,"Washington, D.C., USA"
Louis Armstrong,1901-08-04,Unknown,"New Orleans, Louisiana, USA"
Miles Davis,1926-05-26,Unknown,"Alton, Illinois, USA"
John Coltrane,1926-09-23,Unknown,"Hamlet, North Carolina, USA"
Charlie Parker,1920-08-29,Unknown,"Kansas City, Kansas, USA"
Thelonious Monk,1917-10-10,Unknown,"Rocky Mount, North Carolina, USA"
