name,birth_date,birth_time,birth_place
Andrew Carnegie,1835-11-25,Unknown,"Dunfermline, Scotland"
John D. Rockefeller,1839-07-08,Unknown,"Richford, New York, USA"
J. P. Morgan,1837-04-17,Unknown,"Hartford, Connecticut, USA"
Cornelius Vanderbilt,1794-05-27,Unknown,"Staten Island, New York, USA"
Henry Ford,1863-07-30,Unknown,"Springwells Township, Michigan, USA"
Walt Disney,1901-12-05,Unknown,"Chicago, Illinois, USA"
Ray Kroc,1902-10-05,Unknown,"Oak Park, Illinois, USA"
Sam Walton,1918-03-29,Unknown,"Kingfisher, Oklahoma, USA"
Estée Lauder,1908-07-01,Unknown,"Queens, New York, USA"
Soichiro Honda,1906-11-17,Unknown,"Hamamatsu, Japan"
Akio Morita,1921-01-26,Unknown,"Nagoya, Japan"
Konosuke Matsushita,1894-11-27,Unknown,"Wakayama, Japan"
Ingvar Kamprad,1926-03-30,Unknown,"Pjätteryd, Sweden"
Richard Branson,1950-07-18,Unknown,"London, England"
Ted Turner,1938-11-19,Unknown,"Cincinnati, Ohio, USA"
Rupert Murdoch,1931-03-11,Unknown,"Melbourne, Australia"
Steve Jobs,1955-02-24,Unknown,"San Francisco, California, USA"
Steve Wozniak,1950-08-11,Unknown,"San Jose, California, USA"
Bill Gates,1955-10-28,Unknown,"Seattle, Washington, USA"
Paul Allen,1953-01-21,Unknown,"Seattle, Washington, USA"
Larry Ellison,1944-08-17,Unknown,"New York City, New York, USA"
Michael Dell,1965-02-23,Unknown,"Houston, Texas, USA"
Jeff Bezos,1964-01-12,Unknown,"Albuquerque, New Mexico, USA"
Pierre Omidyar,1967-06-21,Unknown,"Paris, France"
Elon Musk,1971-06-28,Unknown,"Pretoria, South Africa"
Peter Thiel,1967-10-11,Unknown,"Frankfurt, Germany"
Reid Hoffman,1967-08-05,Unknown,"Palo Alto, California, USA"
Marc Andreessen,1971-07-09,Unknown,"Cedar Falls, Iowa, USA"
Mark Cuban,1958-07-31,Unknown,"Pittsburgh, Pennsylvania, USA"
Jack Ma,1964-09-10,Unknown,"Hangzhou, China"
Pony Ma,1971-10-29,Unknown,"Dongfang, China"
Robin Li,1968-11-17,Unknown,"Yangquan, China"
Ren Zhengfei,1944-10-25,Unknown,"Zhenning, China"
Lei Jun,1969-12-16,Unknown,"Xiantao, China"
Larry Page,1973-03-26,Unknown,"Lansing, Michigan, USA"
Sergey Brin,1973-08-21,Unknown,"Moscow, Russia"
Eric Schmidt,1955-04-27,Unknown,"Falls Church, Virginia, USA"
Mark Zuckerberg,1984-05-14,Unknown,"White Plains, New York, USA"
Dustin Moskovitz,1984-05-22,Unknown,"Gainesville, Florida, USA"
Eduardo Saverin,1982-03-19,Unknown,"São Paulo, Brazil"
Evan Spiegel,1990-06-04,Unknown,"Los Angeles, California, USA"
Brian Chesky,1981-08-29,Unknown,"Niskayuna, New York, USA"
Garrett Camp,1978-10-04,Unknown,"Calgary, Canada"
Travis Kalanick,1976-08-06,Unknown,"Los Angeles, California, USA"
Daniel Ek,1983-02-21,Unknown,"Stockholm, Sweden"
Jensen Huang,1963-02-17,Unknown,"Tainan, Taiwan"
Lisa Su,1969-11-07,Unknown,"Tainan, Taiwan"
Satya Nadella,1967-08-19,Unknown,"Hyderabad, India"
Sundar Pichai,1972-06-10,Unknown,"Madurai, India"
Tim Cook,1960-11-01,Unknown,"Mobile, Alabama, USA"
