name,birth_date,birth_time,birth_place
Alexander the Great,-0356-07-20,Unknown,"Pella, Macedonia"
Philip II of Macedon,-0382-01-01,Unknown,"Pella, Macedonia"
Hannibal Barca,-0247-01-01,Unknown,"Carthage, Tunisia"
Scipio Africanus,-0236-01-01,Unknown,"Rome, Italy"
Julius Caesar,-0100-07-13,Unknown,"Rome, Italy"
Augustus,-0063-09-23,Unknown,"Rome, Italy"
Marcus Aurelius,0121-04-26,Unknown,"Rome, Italy"
Belisarius,0500-01-01,Unknown,"Germania, Bulgaria"
Charlemagne,0742-04-02,Unknown,"Aachen, Germany"
William the Conqueror,1028-01-01,Unknown,"Falaise, France"
Saladin,1137-01-01,Unknown,"Tikrit, Iraq"
Genghis Khan,1162-01-01,Unknown,"Delüün Boldog, Mongolia"
Kublai Khan,1215-09-23,Unknown,"Mongolia"
Joan of Arc,1412-01-06,Unknown,"Domrémy, France"
Mehmed II,1432-03-30,Unknown,"Edirne, Turkey"
Christopher Columbus,1451-10-31,Unknown,"Genoa, Italy"
Vasco da Gama,1460-01-01,Unknown,"Sines, Portugal"
Ferdinand Magellan,1480-01-01,Unknown,"Sabrosa, Portugal"
Hernán Cortés,1485-12-01,Unknown,"Medellín, Spain"
Francisco Pizarro,1478-03-16,Unknown,"Trujillo, Spain"
Zheng He,1371-01-01,Unknown,"Kunming, China"
Francis Drake,1540-01-01,Unknown,"Tavistock, England"
Walter Raleigh,1552-01-01,Unknown,"East Budleigh, England"
Oliver Cromwell,1599-04-25,Unknown,"Huntingdon, England"
George Washington,1732-02-22,Unknown,"Westmoreland County, Virginia, USA"
Horatio Nelson,1758-09-29,Unknown,"Burnham Thorpe, England"
Arthur Wellesley,1769-05-01,Unknown,"Dublin, Ireland"
Napoleon Bonaparte,1769-08-15,Unknown,"Ajaccio, Corsica"
Simón Bolívar,1783-07-24,Unknown,"Caracas, Venezuela"
Andrew Jackson,1767-03-15,Unknown,"Waxhaws, USA"
Robert E. Lee,1807-01-19,Unknown,"Stratford Hall, Virginia, USA"
Ulysses S. Grant,1822-04-27,Unknown,"Point Pleasant, Ohio, USA"
William Tecumseh Sherman,1820-02-08,Unknown,"Lancaster, Ohio, USA"
George Armstrong Custer,1839-12-05,Unknown,"New Rumley, Ohio, USA"
Theodore Roosevelt,1858-10-27,Unknown,"New York City, New York, USA"
Robert Falcon Scott,1868-06-06,Unknown,"Plymouth, England"
Roald Amundsen,1872-07-16,Unknown,"Borge, Norway"
Ernest Shackleton,1874-02-15,Unknown,"Kilkea, Ireland"
Douglas MacArthur,1880-01-26,Unknown,"Little Rock, Arkansas, USA"
George S. Patton,1885-11-11,Unknown,"San Gabriel, California, USA"
Bernard Montgomery,1887-11-17,Unknown,"London, England"
Erwin Rommel,1891-11-15,Unknown,"Heidenheim, Germany"
Dwight D. Eisenhower,1890-10-14,Unknown,"Denison, Texas, USA"
Chester W. Nimitz,1885-02-24,Unknown,"Fredericksburg, Texas, USA"
Isoroku Yamamoto,1884-04-04,Unknown,"Nagaoka, Japan"
Vo Nguyen Giap,1911-08-25,Unknown,"Quảng Bình, Vietnam"
Tenzing Norgay,1914-05-29,Unknown,"Khumbu, Nepal"
Edmund Hillary,1919-07-20,Unknown,"Auckland, New Zealand"
Yuri Gagarin,1934-03-09,Unknown,"Klushino, Russia"
Neil Armstrong,1930-08-05,Unknown,"Wapakoneta, Ohio, USA"
Buzz Aldrin,1930-01-20,Unknown,"Glen Ridge, New Jersey, USA"
Sally Ride,1951-05-26,Unknown,"Los Angeles, California, USA"
John Glenn,1921-07-18,Unknown,"Cambridge, Ohio, USA"
Mae Jemison,1956-10-17,Unknown,"Decatur, Alabama, USA"
Jacques Cousteau,1910-06-11,Unknown,"Saint-André-de-Cubzac, France"
Thor Heyerdahl,1914-10-06,Unknown,"Larvik, Norway"
Ranulph Fiennes,1944-03-07,Unknown,"Windsor, England"
Bear Grylls,1974-06-07,Unknown,"London, England"
