name,birth_date,birth_time,birth_place
Abraham Lincoln,1809-02-12,00:00,Hodgenville, Kentucky, USA
George Washington,1732-02-22,00:00,Westmoreland County, Virginia, USA
Thomas Jefferson,1743-04-13,00:00,Shadwell, Virginia, USA
Benjamin Franklin,1706-01-17,10:30,Boston, Massachusetts, USA
John Adams,1735-10-30,00:00,Braintree, Massachusetts, USA
Alexander Hamilton,1755-01-11,00:00,Charlestown, Nevis
Napoleon Bonaparte,1769-08-15,11:30,Ajaccio, Corsica, France
Julius Caesar,-0100-07-13,Unknown,Rome, Italy
Marcus Aurelius,0121-04-26,Unknown,Rome, Italy
Leonardo da Vinci,1452-04-15,22:30,Vinci, Italy
Michelangelo,1475-03-06,Unknown,Caprese, Italy
Galileo Galilei,1564-02-15,15:00,Pisa, Italy
Johannes Kepler,1571-12-27,14:37,Weil der Stadt, Germany
Isaac Newton,1643-01-04,01:00,Woolsthorpe, England
Nikola Tesla,1856-07-10,00:00,Smiljan, Croatia
Marie Curie,1867-11-07,12:00,Warsaw, Poland
Albert Einstein,1879-03-14,11:30,Ulm, Germany
Charles Darwin,1809-02-12,03:00,Shrewsbury, England
Alan Turing,1912-06-23,02:15,London, England
Ada Lovelace,1815-12-10,16:00,London, England
Grace Hopper,1906-12-09,09:30,New York City, New York, USA
Claude Shannon,1916-04-30,12:00,Petoskey, Michigan, USA
John von Neumann,1903-12-28,12:00,Budapest, Hungary
Carl Sagan,1934-11-09,16:05,Brooklyn, New York, USA
Stephen Hawking,1942-01-08,20:00,Oxford, England
Plato,-0428-05-21,Unknown,Athens, Greece
Aristotle,-0384-09-23,Unknown,Stagira, Greece
Socrates,-0470-06-04,Unknown,Athens, Greece
Confucius,-0551-09-28,Unknown,Qufu, China
Laozi,-0571-01-01,Unknown,Chu, China
Immanuel Kant,1724-04-22,05:00,Königsberg, Prussia
René Descartes,1596-03-31,02:00,La Haye en Touraine, France
Friedrich Nietzsche,1844-10-15,10:00,Röcken, Germany
Carl Jung,1875-07-26,19:32,Kesswil, Switzerland
Sigmund Freud,1856-05-06,18:30,Freiberg, Czech Republic
William James,1842-01-11,09:00,New York City, USA
Mahatma Gandhi,1869-10-02,07:11,Porbandar, India
Martin Luther King Jr.,1929-01-15,12:00,Atlanta, Georgia, USA
Nelson Mandela,1918-07-18,14:54,Mvezo, South Africa
Harriet Tubman,1822-03-01,Unknown,Dorchester County, Maryland, USA
Frederick Douglass,1818-02-14,Unknown,Talbot County, Maryland, USA
William Shakespeare,1564-04-23,Unknown,Stratford-upon-Avon, England
Leo Tolstoy,1828-09-09,12:00,Yasnaya Polyana, Russia
Fyodor Dostoevsky,1821-11-11,11:00,Moscow, Russia
Jane Austen,1775-12-16,08:00,Steventon, England
Wolfgang Amadeus Mozart,1756-01-27,20:00,Salzburg, Austria
Ludwig van Beethoven,1770-12-17,Unknown,Bonn, Germany
Johann Sebastian Bach,1685-03-31,08:00,Eisenach, Germany
Vincent van Gogh,1853-03-30,11:00,Zundert, Netherlands
Pablo Picasso,1881-10-25,23:15,Málaga, Spain
Steve Jobs,1955-02-24,19:15,San Francisco, California, USA
Bill Gates,1955-10-28,21:15,Seattle, Washington, USA
Henry Ford,1863-07-30,07:00,Dearborn, Michigan, USA
Thomas Edison,1847-02-11,03:00,Milan, Ohio, USA
