name,birth_date,birth_time,birth_place
Archimedes,-0287-01-01,Unknown,"Syracuse, Sicily"
Hero of Alexandria,0010-01-01,Unknown,"Alexandria, Egypt"
Leonardo da Vinci,1452-04-15,Unknown,"Vinci, Italy"
Johannes Gutenberg,1400-01-01,Unknown,"Mainz, Germany"
James Watt,1736-01-19,Unknown,"Greenock, Scotland"
Eli Whitney,1765-12-08,Unknown,"Westborough, Massachusetts, USA"
George Stephenson,1781-06-09,Unknown,"Wylam, England"
Isambard Kingdom Brunel,1806-04-09,Unknown,"Portsmouth, England"
Samuel Morse,1791-04-27,Unknown,"Charlestown, Massachusetts, USA"
Charles Babbage,1791-12-26,Unknown,"London, England"
Ada Lovelace,1815-12-10,Unknown,"London, England"
John Ericsson,1803-07-31,Unknown,"Långbanshyttan, Sweden"
Alexander Graham Bell,1847-03-03,Unknown,"Edinburgh, Scotland"
Thomas Edison,1847-02-11,Unknown,"Milan, Ohio, USA"
Nikola Tesla,1856-07-10,00:00,"Smiljan, Croatia"
Karl Benz,1844-11-25,Unknown,"Karlsruhe, Germany"
Rudolf Diesel,1858-03-18,Unknown,"Paris, France"
Wilbur Wright,1867-04-16,Unknown,"Millville, Indiana, USA"
Orville Wright,1871-08-19,Unknown,"Dayton, Ohio, USA"
Guglielmo Marconi,1874-04-25,Unknown,"Bologna, Italy"
Henry Ford,1863-07-30,Unknown,"Springwells Township, Michigan, USA"
Elmer Sperry,1860-10-12,Unknown,"Cortland, New York, USA"
Robert Goddard,1882-10-05,Unknown,"Worcester, Massachusetts, USA"
Wernher von Braun,1912-03-23,Unknown,"Wirsitz, Germany"
Sergey Korolev,1907-01-12,Unknown,"Zhytomyr, Ukraine"
Jack Kilby,1923-11-08,Unknown,"Jefferson City, Missouri, USA"
Robert Noyce,1927-12-12,Unknown,"Burlington, Iowa, USA"
Gordon Moore,1929-01-03,Unknown,"San Francisco, California, USA"
Douglas Engelbart,1925-01-30,Unknown,"Portland, Oregon, USA"
Claude Shannon,1916-04-30,Unknown,"Petoskey, Michigan, USA"
John von Neumann,1903-12-28,Unknown,"Budapest, Hungary"
Alan Turing,1912-06-23,Unknown,"London, England"
Grace Hopper,1906-12-09,Unknown,"New York City, New York, USA"
Dennis Ritchie,1941-09-09,Unknown,"Bronxville, New York, USA"
Ken Thompson,1943-02-04,Unknown,"New Orleans, Louisiana, USA"
Donald Knuth,1938-01-10,Unknown,"Milwaukee, Wisconsin, USA"
John McCarthy,1927-09-04,Unknown,"Boston, Massachusetts, USA"
Marvin Minsky,1927-08-09,Unknown,"New York City, New York, USA"
Vinton Cerf,1943-06-23,Unknown,"New Haven, Connecticut, USA"
Robert Kahn,1938-12-23,Unknown,"Brooklyn, New York, USA"
Tim Berners-Lee,1955-06-08,Unknown,"London, England"
Linus Torvalds,1969-12-28,Unknown,"Helsinki, Finland"
James Gosling,1955-05-19,Unknown,"Calgary, Canada"
Bjarne Stroustrup,1950-12-30,Unknown,"Aarhus, Denmark"
Guido van Rossum,1956-01-31,Unknown,"The Hague, Netherlands"
Brendan Eich,1961-07-04,Unknown,"Pittsburgh, Pennsylvania, USA"
Jensen Huang,1963-02-17,Unknown,"Tainan, Taiwan"
Steve Wozniak,1950-08-11,Unknown,"San Jose, California, USA"
Dean Kamen,1951-04-05,Unknown,"Rockville Centre, New York, USA"
Burt Rutan,1943-06-17,Unknown,"Estacada, Oregon, USA"
Elon Musk,1971-06-28,Unknown,"Pretoria, South Africa"
