name,birth_date,birth_time,birth_place
Socrates,-0470-01-01,Unknown,"Athens, Greece"
Plato,-0428-01-01,Unknown,"Athens, Greece"
Aristotle,-0384-01-01,Unknown,"Stagira, Greece"
Epicurus,-0341-01-01,Unknown,"Samos, Greece"
Zeno of Citium,-0334-01-01,Unknown,"Citium, Cyprus"
Confucius,-0551-09-28,Unknown,"Qufu, China"
Laozi,-0601-01-01,Unknown,"Chu, China"
Mencius,-0372-01-01,Unknown,"Zou, China"
Zhuangzi,-0369-01-01,Unknown,"Meng, China"
Plotinus,0205-01-01,Unknown,"Lycopolis, Egypt"
Augustine of Hippo,0354-11-13,Unknown,"Thagaste, Algeria"
Boethius,0480-01-01,Unknown,"Rome, Italy"
Thomas Aquinas,1225-01-28,Unknown,"Roccasecca, Italy"
William of Ockham,1287-01-01,Unknown,"Ockham, England"
Niccolò Machiavelli,1469-05-03,Unknown,"Florence, Italy"
Desiderius Erasmus,1466-10-28,Unknown,"Rotterdam, Netherlands"
Francis Bacon,1561-01-22,Unknown,"London, England"
Thomas Hobbes,1588-04-05,Unknown,"Westport, England"
René Descartes,1596-03-31,Unknown,"La Haye, France"
Blaise Pascal,1623-06-19,Unknown,"Clermont-Ferrand, France"
Baruch Spinoza,1632-11-24,Unknown,"Amsterdam, Netherlands"
John Locke,1632-08-29,Unknown,"Wrington, England"
Gottfried Wilhelm Leibniz,1646-07-01,Unknown,"Leipzig, Germany"
George Berkeley,1685-03-12,Unknown,"Kilkenny, Ireland"
David Hume,1711-05-07,Unknown,"Edinburgh, Scotland"
Jean-Jacques Rousseau,1712-06-28,Unknown,"Geneva, Switzerland"
Voltaire,1694-11-21,Unknown,"Paris, France"
Immanuel Kant,1724-04-22,Unknown,"Königsberg, Prussia"
Edmund Burke,1729-01-12,Unknown,"Dublin, Ireland"
Jeremy Bentham,1748-02-15,Unknown,"London, England"
Johann Gottlieb Fichte,1762-05-19,Unknown,"Rammenau, Germany"
Georg Wilhelm Friedrich Hegel,1770-08-27,Unknown,"Stuttgart, Germany"
Arthur Schopenhauer,1788-02-22,Unknown,"Danzig, Poland"
Auguste Comte,1798-01-19,Unknown,"Montpellier, France"
John Stuart Mill,1806-05-20,Unknown,"London, England"
Søren Kierkegaard,1813-05-05,Unknown,"Copenhagen, Denmark"
Karl Marx,1818-05-05,Unknown,"Trier, Germany"
Friedrich Engels,1820-11-28,Unknown,"Barmen, Germany"
Herbert Spencer,1820-04-27,Unknown,"Derby, England"
Henry David Thoreau,1817-07-12,Unknown,"Concord, Massachusetts, USA"
Ralph Waldo Emerson,1803-05-25,Unknown,"Boston, Massachusetts, USA"
Friedrich Nietzsche,1844-10-15,Unknown,"Röcken, Germany"
William James,1842-01-11,Unknown,"New York City, New York, USA"
Charles Sanders Peirce,1839-09-10,Unknown,"Cambridge, Massachusetts, USA"
Josiah Royce,1855-11-20,Unknown,"Grass Valley, California, USA"
Henri Bergson,1859-10-18,Unknown,"Paris, France"
Edmund Husserl,1859-04-08,Unknown,"Prostějov, Czech Republic"
G. E. Moore,1873-11-04,Unknown,"London, England"
Bertrand Russell,1872-05-18,Unknown,"Trellech, Wales"
Ludwig Wittgenstein,1889-04-26,Unknown,"Vienna, Austria"
Martin Heidegger,1889-09-26,Unknown,"Messkirch, Germany"
Karl Jaspers,1883-02-23,Unknown,"Oldenburg, Germany"
Alfred North Whitehead,1861-02-15,Unknown,"Ramsgate, England"
Rudolf Carnap,1891-05-18,Unknown,"Ronsdorf, Germany"
Karl Popper,1902-07-28,Unknown,"Vienna, Austria"
Hannah Arendt,1906-10-14,Unknown,"Hanover, Germany"
Jean-Paul Sartre,1905-06-21,Unknown,"Paris, France"
Simone de Beauvoir,1908-01-09,Unknown,"Paris, France"
Albert Camus,1913-11-07,Unknown,"Mondovi, Algeria"
Maurice Merleau-Ponty,1908-03-14,Unknown,"Rochefort-sur-Mer, France"
Gilbert Ryle,1900-08-19,Unknown,"Brighton, England"
Willard Van Orman Quine,1908-06-25,Unknown,"Akron, Ohio, USA"
Isaiah Berlin,1909-06-06,Unknown,"Riga, Latvia"
Thomas Kuhn,1922-07-18,Unknown,"Cincinnati, Ohio, USA"
Michel Foucault,1926-10-15,Unknown,"Poitiers, France"
Jacques Derrida,1930-07-15,Unknown,"El Biar, Algeria"
John Rawls,1921-02-21,Unknown,"Baltimore, Maryland, USA"
Robert Nozick,1938-11-16,Unknown,"Brooklyn, New York, USA"
Alasdair MacIntyre,1929-01-12,Unknown,"Glasgow, Scotland"
Daniel Dennett,1942-03-28,Unknown,"Boston, Massachusetts, USA"
Peter Singer,1946-07-06,Unknown,"Melbourne, Australia"
Martha Nussbaum,1947-05-06,Unknown,"New York City, New York, USA"
Judith Butler,1956-02-24,Unknown,"Cleveland, Ohio, USA"
Slavoj Žižek,1949-03-21,Unknown,"Ljubljana, Slovenia"
Byung-Chul Han,1959-01-01,Unknown,"Seoul, South Korea"
