name,birth_date,birth_time,birth_place
George Washington,1732-02-22,Unknown,"Westmoreland County, Virginia, USA"
Thomas Jefferson,1743-04-13,Unknown,"Shadwell, Virginia, USA"
John Adams,1735-10-30,Unknown,"Braintree, Massachusetts, USA"
James Madison,1751-03-16,Unknown,"Port Conway, Virginia, USA"
Abraham Lincoln,1809-02-12,Unknown,"Hodgenville, Kentucky, USA"
Ulysses S. Grant,1822-04-27,Unknown,"Point Pleasant, Ohio, USA"
Theodore Roosevelt,1858-10-27,Unknown,"New York City, New York, USA"
Franklin D. Roosevelt,1882-01-30,Unknown,"Hyde Park, New York, USA"
Harry S. Truman,1884-05-08,Unknown,"Lamar, Missouri, USA"
Dwight D. Eisenhower,1890-10-14,Unknown,"Denison, Texas, USA"
John F. Kennedy,1917-05-29,Unknown,"Brookline, Massachusetts, USA"
Lyndon B. Johnson,1908-08-27,Unknown,"Stonewall, Texas, USA"
Richard Nixon,1913-01-09,Unknown,"Yorba Linda, California, USA"
Jimmy Carter,1924-10-01,Unknown,"Plains, Georgia, USA"
Ronald Reagan,1911-02-06,Unknown,"Tampico, Illinois, USA"
George H. W. Bush,1924-06-12,Unknown,"Milton, Massachusetts, USA"
Bill Clinton,1946-08-19,Unknown,"Hope, Arkansas, USA"
George W. Bush,1946-07-06,Unknown,"New Haven, Connecticut, USA"
Barack Obama,1961-08-04,Unknown,"Honolulu, Hawaii, USA"
Donald Trump,1946-06-14,Unknown,"Queens, New York, USA"
Joe Biden,1942-11-20,Unknown,"Scranton, Pennsylvania, USA"
Winston Churchill,1874-11-30,Unknown,"Woodstock, England"
Margaret Thatcher,1925-10-13,Unknown,"Grantham, England"
Tony Blair,1953-05-06,Unknown,"Edinburgh, Scotland"
Angela Merkel,1954-07-17,Unknown,"Hamburg, Germany"
Helmut Kohl,1930-04-03,Unknown,"Ludwigshafen, Germany"
Charles de Gaulle,1890-11-22,Unknown,"Lille, France"
Napoleon Bonaparte,1769-08-15,Unknown,"Ajaccio, Corsica"
Otto von Bismarck,1815-04-01,Unknown,"Schönhausen, Germany"
Mikhail Gorbachev,1931-03-02,Unknown,"Privolnoye, Russia"
Vladimir Lenin,1870-04-22,Unknown,"Simbirsk, Russia"
Joseph Stalin,1878-12-18,Unknown,"Gori, Georgia"
Nikita Khrushchev,1894-04-15,Unknown,"Kalinovka, Russia"
Vladimir Putin,1952-10-07,Unknown,"Leningrad, Russia"
Boris Yeltsin,1931-02-01,Unknown,"Butka, Russia"
Mao Zedong,1893-12-26,Unknown,"Shaoshan, China"
Sun Yat-sen,1866-11-12,Unknown,"Cuiheng, China"
Chiang Kai-shek,1887-10-31,Unknown,"Xikou, China"
Deng Xiaoping,1904-08-22,Unknown,"Guang'an, China"
Xi Jinping,1953-06-15,Unknown,"Beijing, China"
Lee Kuan Yew,1923-09-16,Unknown,"Singapore"
Nelson Mandela,1918-07-18,Unknown,"Mvezo, South Africa"
Desmond Tutu,1931-10-07,Unknown,"Klerksdorp, South Africa"
Mahatma Gandhi,1869-10-02,Unknown,"Porbandar, India"
Jawaharlal Nehru,1889-11-14,Unknown,"Allahabad, India"
Indira Gandhi,1917-11-19,Unknown,"Allahabad, India"
Narendra Modi,1950-09-17,Unknown,"Vadnagar, India"
Golda Meir,1898-05-03,Unknown,"Kyiv, Ukraine"
David Ben-Gurion,1886-10-16,Unknown,"Płońsk, Poland"
Yitzhak Rabin,1922-03-01,Unknown,"Jerusalem"
Menachem Begin,1913-08-16,Unknown,"Brest, Belarus"
Shimon Peres,1923-08-02,Unknown,"Wiszniew, Poland"
Yasser Arafat,1929-08-24,Unknown,"Cairo, Egypt"
Fidel Castro,1926-08-13,Unknown,"Birán, Cuba"
Che Guevara,1928-06-14,Unknown,"Rosario, Argentina"
Augusto Pinochet,1915-11-25,Unknown,"Valparaíso, Chile"
Simón Bolívar,1783-07-24,Unknown,"Caracas, Venezuela"
Julius Caesar,-0100-07-13,Unknown,"Rome, Italy"
Marcus Aurelius,0121-04-26,Unknown,"Rome, Italy"
Constantine the Great,0272-02-27,Unknown,"Naissus, Serbia"
Queen Elizabeth II,1926-04-21,Unknown,"London, England"
King Charles III,1948-11-14,Unknown,"London, England"
