profile_key,name,wikidata_id,source_url,wikipedia_url,category,birth_date,death_date,birth_place,country,gender,occupation,occupations,description,sitelinks,data_quality,notes
aaron_ciechanover_q233205,Aaron Ciechanover,Q233205,https://www.wikidata.org/wiki/Q233205,https://en.wikipedia.org/wiki/Aaron_Ciechanover,science,1947-10-01,,Haifa,Israel,male,biochemist,biochemist; chemist; physician; pedagogue; university teacher,"Israeli physician and biochemist, Nobel Laureate",1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
aaron_copland_q192185,Aaron Copland,Q192185,https://www.wikidata.org/wiki/Q192185,https://en.wikipedia.org/wiki/Aaron_Copland,literature,1900-11-14,1990-12-02,Brooklyn,United States,male,conductor,conductor; pianist; composer; choreographer; musicologist; music educator; jazz musician; film score composer; music critic,"American composer, composition teacher, writer, and conductor (1900-1990)",1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
aaron_klug_q190626,Aaron Klug,Q190626,https://www.wikidata.org/wiki/Q190626,https://en.wikipedia.org/wiki/Aaron_Klug,science,1926-08-11,2018-11-20,Želva,United Kingdom,male,biochemist,biochemist; molecular biologist; university teacher; chemist; biophysicist,British chemist and biophysicist,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
aaron_rathborne_q18874807,Aaron Rathborne,Q18874807,https://www.wikidata.org/wiki/Q18874807,https://en.wikipedia.org/wiki/Aaron_Rathborne,prominent_figure,1571-01-01,,,,male,,,"Rathborne, Aaron (b. 1571/2), land surveyor and author",1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abba_mari_halfon_q30526969,Abba Mari Halfon,Q30526969,https://www.wikidata.org/wiki/Q30526969,https://en.wikipedia.org/wiki/Abba_Mari_Halfon,science,,,,,male,physician,physician; astronomer,15th–16th century Italian-Jewish astronomer,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abba_mari_ben_eligdor_q4663651,Abba Mari ben Eligdor,Q4663651,https://www.wikidata.org/wiki/Q4663651,https://en.wikipedia.org/wiki/Abba_Mari_ben_Eligdor,philosophy,,,,,male,astronomer,astronomer; rabbi; philosopher,rabbi,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abd_al_karim_qasim_q299732,Abd al-Karim Qasim,Q299732,https://www.wikidata.org/wiki/Q299732,https://en.wikipedia.org/wiki/Abdul-Karim_Qasim,politics,1914-11-21,1963-02-09,Baghdad,Ottoman Empire,male,military personnel,military personnel; school teacher; politician,"Iraqi Army brigadier, nationalist and first prime minister of Iraq after the fall of the monarchy",1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abd_ar_razzaq_al_issa_q29512376,Abd ar-Razzaq al-Issa,Q29512376,https://www.wikidata.org/wiki/Q29512376,https://en.wikipedia.org/wiki/Abdul_Razzaq_al-Issa,politics,1949-00-00,,Najaf,Iraq,male,politician,politician,Iraqi politician,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abdelkader_perez_q307964,Abdelkader Perez,Q307964,https://www.wikidata.org/wiki/Q307964,https://en.wikipedia.org/wiki/Abdelkader_P%C3%A9rez,politics,1650-00-00,,Morocco,Morocco,male,diplomat,diplomat; pirate; politician,Moroccan Admiral and an ambassador,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abdigani_diriye_q62081681,Abdigani Diriye,Q62081681,https://www.wikidata.org/wiki/Q62081681,https://en.wikipedia.org/wiki/Abdigani_Diriye,science,1986-00-00,,,,male,computer scientist,computer scientist,Somali computer scientist and research scientist,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abdul_aziz_bin_haji_jaafar_q12681876,Abdul Aziz bin Haji Jaafar,Q12681876,https://www.wikidata.org/wiki/Q12681876,https://en.wikipedia.org/wiki/Abdul_Aziz_Jaafar,prominent_figure,1956-01-01,,Sungai Udang,Malaysia,male,,,Malaysian naval officer,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abdul_rahman_ibrahima_sori_q3825124,Abdul Rahman Ibrahima Sori,Q3825124,https://www.wikidata.org/wiki/Q3825124,https://en.wikipedia.org/wiki/Abdul_Rahman_Ibrahima_Sori,military,1762-01-01,1829-01-01,Timbo,,male,military officer,military officer; military personnel,American slave,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abdullah_yusuf_azzam_q307613,Abdullah Yusuf Azzam,Q307613,https://www.wikidata.org/wiki/Q307613,https://en.wikipedia.org/wiki/Abdullah_Yusuf_Azzam,politics,1941-00-00,1989-11-24,Silat al-Harithiya,Palestine,male,politician,politician; activist; theologian; university teacher; spiritual leader,Palestinian Sunni Islamic scholar and Salafi jihadist (1941–1989),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abdullah_al_ahdal_q2821438,Abdullah al-Ahdal,Q2821438,https://www.wikidata.org/wiki/Q2821438,https://en.wikipedia.org/wiki/Abdullah_al-Ahdal,prominent_figure,1953-01-01,1989-01-01,,Saudi Arabia,male,imam,imam,Rector/Great Mosque of Brussels,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abdülhakîm_arvâsî_q318015,Abdülhakîm Arvâsî,Q318015,https://www.wikidata.org/wiki/Q318015,https://en.wikipedia.org/wiki/Abdulhakim_Arvasi,literature,1865-01-01,1943-01-01,Başkale district,Turkey,male,theologian,theologian; scholar,Turkish scholar of religious studies and writer (1865–1943),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abebe_aregai_q318222,Abebe Aregai,Q318222,https://www.wikidata.org/wiki/Q318222,https://en.wikipedia.org/wiki/Abebe_Aregai,politics,1903-08-18,1960-12-17,,Ethiopia,male,politician,politician; minister,Prime minister of Ethiopia (1903-1960),1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abel_buell_q4666542,Abel Buell,Q4666542,https://www.wikidata.org/wiki/Q4666542,https://en.wikipedia.org/wiki/Abel_Buell,prominent_figure,1742-02-01,1822-01-01,Killingworth,United States,male,cartographer,cartographer; inventor,Published the first map of the new United States created by an American,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
abhijit_banerjee_q320578,Abhijit Banerjee,Q320578,https://www.wikidata.org/wiki/Q320578,https://en.wikipedia.org/wiki/Abhijit_Banerjee,prominent_figure,1961-02-21,,Mumbai,United States,male,economist,economist; university teacher,Indian American economist,1,wikidata_api_structured,Imported from Wikidata API; missing fields intentionally left blank.
