name,birth_date,birth_time,birth_place
Wilhelm Wundt,1832-08-16,Unknown,"Neckarau, Germany"
William James,1842-01-11,Unknown,"New York City, New York, USA"
Francis Galton,1822-02-16,Unknown,"Birmingham, England"
Sigmund Freud,1856-05-06,Unknown,"Příbor, Czech Republic"
Ivan Pavlov,1849-09-26,Unknown,"Ryazan, Russia"
Alfred Adler,1870-02-07,Unknown,"Vienna, Austria"
Edward Thorndike,1874-08-31,Unknown,"Williamsburg, Massachusetts, USA"
Carl Gustav Jung,1875-07-26,Unknown,"Kesswil, Switzerland"
Lightner Witmer,1867-06-28,Unknown,"Philadelphia, Pennsylvania, USA"
John B. Watson,1878-01-09,Unknown,"Greenville, South Carolina, USA"
Max Wertheimer,1880-04-15,Unknown,"Prague, Czech Republic"
Kurt Koffka,1886-03-18,Unknown,"Berlin, Germany"
Wolfgang Köhler,1887-01-21,Unknown,"Tallinn, Estonia"
Karen Horney,1885-09-16,Unknown,"Hamburg, Germany"
Clark Hull,1884-05-24,Unknown,"Akron, New York, USA"
Kurt Lewin,1890-09-09,Unknown,"Mogilno, Poland"
Jacob Moreno,1889-05-18,Unknown,"Bucharest, Romania"
Jean Piaget,1896-08-09,Unknown,"Neuchâtel, Switzerland"
Lev Vygotsky,1896-11-17,Unknown,"Orsha, Belarus"
Gordon Allport,1897-11-11,Unknown,"Montezuma, Indiana, USA"
B. F. Skinner,1904-03-20,Unknown,"Susquehanna, Pennsylvania, USA"
Carl Rogers,1902-01-08,Unknown,"Oak Park, Illinois, USA"
Abraham Maslow,1908-04-01,Unknown,"Brooklyn, New York, USA"
Donald Winnicott,1896-04-07,Unknown,"Plymouth, England"
Erik Erikson,1902-06-15,Unknown,"Frankfurt, Germany"
Harry Harlow,1905-10-31,Unknown,"Fairfield, Iowa, USA"
Anna Freud,1895-12-03,Unknown,"Vienna, Austria"
Melanie Klein,1882-03-30,Unknown,"Vienna, Austria"
Viktor Frankl,1905-03-26,Unknown,"Vienna, Austria"
Rollo May,1909-04-21,Unknown,"Ada, Ohio, USA"
Albert Ellis,1913-09-27,Unknown,"Pittsburgh, Pennsylvania, USA"
Aaron Beck,1921-07-18,Unknown,"Providence, Rhode Island, USA"
Stanley Milgram,1933-08-15,Unknown,"New York City, New York, USA"
Philip Zimbardo,1933-03-23,Unknown,"New York City, New York, USA"
Leon Festinger,1919-05-08,Unknown,"Brooklyn, New York, USA"
Solomon Asch,1907-09-14,Unknown,"Warsaw, Poland"
Harry Stack Sullivan,1892-02-21,Unknown,"Norwich, New York, USA"
John Bowlby,1907-02-26,Unknown,"London, England"
Mary Ainsworth,1913-12-01,Unknown,"Glendale, Ohio, USA"
Jerome Bruner,1915-10-01,Unknown,"New York City, New York, USA"
Albert Bandura,1925-12-04,Unknown,"Mundare, Canada"
Ulric Neisser,1928-12-08,Unknown,"Kiel, Germany"
Herbert Simon,1916-06-15,Unknown,"Milwaukee, Wisconsin, USA"
Noam Chomsky,1928-12-07,Unknown,"Philadelphia, Pennsylvania, USA"
Daniel Kahneman,1934-03-05,Unknown,"Tel Aviv, Israel"
Amos Tversky,1937-03-16,Unknown,"Haifa, Israel"
Martin Seligman,1942-08-12,Unknown,"Albany, New York, USA"
Mihaly Csikszentmihalyi,1934-09-29,Unknown,"Fiume, Croatia"
Howard Gardner,1943-07-11,Unknown,"Scranton, Pennsylvania, USA"
Robert Sternberg,1949-12-08,Unknown,"Newark, New Jersey, USA"
Steven Pinker,1954-09-18,Unknown,"Montreal, Canada"
Jonathan Haidt,1963-10-19,Unknown,"New York City, New York, USA"
Jordan Peterson,1962-06-12,Unknown,"Edmonton, Canada"
Carol Dweck,1946-10-17,Unknown,"Brooklyn, New York, USA"
Angela Duckworth,1970-01-01,Unknown,"Cherry Hill, New Jersey, USA"
Daniel Goleman,1946-03-07,Unknown,"Stockton, California, USA"
Richard Davidson,1951-12-12,Unknown,"Brooklyn, New York, USA"
Paul Ekman,1934-02-15,Unknown,"Washington, D.C., USA"
Joseph LeDoux,1949-12-07,Unknown,"Eunice, Louisiana, USA"
Antonio Damasio,1944-02-25,Unknown,"Lisbon, Portugal"
Oliver Sacks,1933-07-09,Unknown,"London, England"
Temple Grandin,1947-08-29,Unknown,"Boston, Massachusetts, USA"
