name,birth_date,birth_time,birth_place
Albert Einstein,1879-03-14,11:30,"Ulm, Germany"
Isaac Newton,1643-01-04,Unknown,"Woolsthorpe, England"
Galileo Galilei,1564-02-15,Unknown,"Pisa, Italy"
Johannes Kepler,1571-12-27,Unknown,"Weil der Stadt, Germany"
Nicolaus Copernicus,1473-02-19,Unknown,"Toruń, Poland"
Tycho Brahe,1546-12-14,Unknown,"Knutstorp, Sweden"
Edwin Hubble,1889-11-20,Unknown,"Marshfield, Missouri, USA"
Carl Sagan,1934-11-09,Unknown,"Brooklyn, New York, USA"
Stephen Hawking,1942-01-08,Unknown,"Oxford, England"
Richard Feynman,1918-05-11,Unknown,"Queens, New York, USA"
Niels Bohr,1885-10-07,Unknown,"Copenhagen, Denmark"
Max Planck,1858-04-23,Unknown,"Kiel, Germany"
Werner Heisenberg,1901-12-05,Unknown,"Würzburg, Germany"
Erwin Schrödinger,1887-08-12,Unknown,"Vienna, Austria"
Paul Dirac,1902-08-08,Unknown,"Bristol, England"
Wolfgang Pauli,1900-04-25,Unknown,"Vienna, Austria"
Enrico Fermi,1901-09-29,Unknown,"Rome, Italy"
Marie Curie,1867-11-07,Unknown,"Warsaw, Poland"
Pierre Curie,1859-05-15,Unknown,"Paris, France"
Dmitri Mendeleev,1834-02-08,Unknown,"Tobolsk, Russia"
Antoine Lavoisier,1743-08-26,Unknown,"Paris, France"
Michael Faraday,1791-09-22,Unknown,"London, England"
James Clerk Maxwell,1831-06-13,Unknown,"Edinburgh, Scotland"
Lord Kelvin,1824-06-26,Unknown,"Belfast, Ireland"
Nikola Tesla,1856-07-10,00:00,"Smiljan, Croatia"
Thomas Edison,1847-02-11,Unknown,"Milan, Ohio, USA"
Alexander Graham Bell,1847-03-03,Unknown,"Edinburgh, Scotland"
Charles Darwin,1809-02-12,Unknown,"Shrewsbury, England"
Gregor Mendel,1822-07-20,Unknown,"Heinzendorf, Czech Republic"
Louis Pasteur,1822-12-27,Unknown,"Dole, France"
Robert Koch,1843-12-11,Unknown,"Clausthal, Germany"
Alexander Fleming,1881-08-06,Unknown,"Lochfield, Scotland"
Rosalind Franklin,1920-07-25,Unknown,"London, England"
Francis Crick,1916-06-08,Unknown,"Northampton, England"
James Watson,1928-04-06,Unknown,"Chicago, Illinois, USA"
Barbara McClintock,1902-06-16,Unknown,"Hartford, Connecticut, USA"
Lynn Margulis,1938-03-05,Unknown,"Chicago, Illinois, USA"
Rachel Carson,1907-05-27,Unknown,"Springdale, Pennsylvania, USA"
Jane Goodall,1934-04-03,Unknown,"London, England"
Edward Jenner,1749-05-17,Unknown,"Berkeley, England"
Jonas Salk,1914-10-28,Unknown,"New York City, New York, USA"
Alan Turing,1912-06-23,Unknown,"London, England"
John von Neumann,1903-12-28,Unknown,"Budapest, Hungary"
Claude Shannon,1916-04-30,Unknown,"Petoskey, Michigan, USA"
Norbert Wiener,1894-11-26,Unknown,"Columbia, Missouri, USA"
Donald Knuth,1938-01-10,Unknown,"Milwaukee, Wisconsin, USA"
John McCarthy,1927-09-04,Unknown,"Boston, Massachusetts, USA"
Marvin Minsky,1927-08-09,Unknown,"New York City, New York, USA"
Dennis Ritchie,1941-09-09,Unknown,"Bronxville, New York, USA"
Tim Berners-Lee,1955-06-08,Unknown,"London, England"
Grace Hopper,1906-12-09,Unknown,"New York City, New York, USA"
Ada Lovelace,1815-12-10,Unknown,"London, England"
Srinivasa Ramanujan,1887-12-22,Unknown,"Erode, India"
Carl Friedrich Gauss,1777-04-30,Unknown,"Brunswick, Germany"
Leonhard Euler,1707-04-15,Unknown,"Basel, Switzerland"
Bernhard Riemann,1826-09-17,Unknown,"Breselenz, Germany"
Henri Poincaré,1854-04-29,Unknown,"Nancy, France"
Blaise Pascal,1623-06-19,Unknown,"Clermont-Ferrand, France"
René Descartes,1596-03-31,Unknown,"La Haye, France"
Gottfried Wilhelm Leibniz,1646-07-01,Unknown,"Leipzig, Germany"
Emmy Noether,1882-03-23,Unknown,"Erlangen, Germany"
David Hilbert,1862-01-23,Unknown,"Königsberg, Prussia"
Andrew Wiles,1953-04-11,Unknown,"Cambridge, England"
Terence Tao,1975-07-17,Unknown,"Adelaide, Australia"
Roger Penrose,1931-08-08,Unknown,"Colchester, England"
Kip Thorne,1940-06-01,Unknown,"Logan, Utah, USA"
Brian Greene,1963-02-09,Unknown,"New York City, New York, USA"
Neil deGrasse Tyson,1958-10-05,Unknown,"New York City, New York, USA"
Vera Rubin,1928-07-23,Unknown,"Philadelphia, Pennsylvania, USA"
Subrahmanyan Chandrasekhar,1910-10-19,Unknown,"Lahore, Pakistan"
Arthur Eddington,1882-12-28,Unknown,"Kendal, England"
George Gamow,1904-03-04,Unknown,"Odessa, Ukraine"
Fred Hoyle,1915-06-24,Unknown,"Bingley, England"
Lise Meitner,1878-11-07,Unknown,"Vienna, Austria"
Chien-Shiung Wu,1912-05-31,Unknown,"Liuhe, China"
Murray Gell-Mann,1929-09-15,Unknown,"New York City, New York, USA"
Steven Weinberg,1933-05-03,Unknown,"New York City, New York, USA"
Abdus Salam,1926-01-29,Unknown,"Jhang, Pakistan"
Richard Dawkins,1941-03-26,Unknown,"Nairobi, Kenya"
E. O. Wilson,1929-06-10,Unknown,"Birmingham, Alabama, USA"
Richard Lewontin,1929-03-29,Unknown,"New York City, New York, USA"
Carl Linnaeus,1707-05-23,Unknown,"Råshult, Sweden"
Alfred Wegener,1880-11-01,Unknown,"Berlin, Germany"
James Hutton,1726-06-03,Unknown,"Edinburgh, Scotland"
Charles Lyell,1797-11-14,Unknown,"Kinnordy, Scotland"
Nicolas Steno,1638-01-11,Unknown,"Copenhagen, Denmark"
