name,birth_date,birth_time,birth_place
Zoroaster,-1000-01-01,Unknown,"Eastern Iran"
Siddhartha Gautama (Buddha),-0563-04-08,Unknown,"Lumbini, Nepal"
Mahavira,-0599-01-01,Unknown,"Bihar, India"
Confucius,-0551-09-28,Unknown,"Qufu, China"
Laozi,-0601-01-01,Unknown,"Chu, China"
Jesus of Nazareth,-0004-01-01,Unknown,"Bethlehem"
Paul the Apostle,0005-01-01,Unknown,"Tarsus, Turkey"
Muhammad,0570-01-01,Unknown,"Mecca, Saudi Arabia"
Ali ibn Abi Talib,0600-03-17,Unknown,"Mecca, Saudi Arabia"
Rumi,1207-09-30,Unknown,"Balkh, Afghanistan"
Ibn Arabi,1165-07-28,Unknown,"Murcia, Spain"
Al-Ghazali,1058-01-01,Unknown,"Tus, Iran"
Maimonides,1138-03-30,Unknown,"Córdoba, Spain"
Thomas Aquinas,1225-01-28,Unknown,"Roccasecca, Italy"
Francis of Assisi,1181-01-01,Unknown,"Assisi, Italy"
Meister Eckhart,1260-01-01,Unknown,"Hochheim, Germany"
Teresa of Ávila,1515-03-28,Unknown,"Ávila, Spain"
John of the Cross,1542-06-24,Unknown,"Fontiveros, Spain"
Martin Luther,1483-11-10,Unknown,"Eisleben, Germany"
John Calvin,1509-07-10,Unknown,"Noyon, France"
Guru Nanak,1469-04-15,Unknown,"Nankana Sahib, Pakistan"
Guru Gobind Singh,1666-12-22,Unknown,"Patna, India"
Swami Vivekananda,1863-01-12,Unknown,"Kolkata, India"
Ramakrishna,1836-02-18,Unknown,"Kamarpukur, India"
Paramahansa Yogananda,1893-01-05,Unknown,"Gorakhpur, India"
Sri Aurobindo,1872-08-15,Unknown,"Kolkata, India"
Ramana Maharshi,1879-12-30,Unknown,"Tiruchuli, India"
Neem Karoli Baba,1900-01-01,Unknown,"Akbarpur, India"
Jiddu Krishnamurti,1895-05-11,Unknown,"Madanapalle, India"
Sathya Sai Baba,1926-11-23,Unknown,"Puttaparthi, India"
Dalai Lama XIV,1935-07-06,Unknown,"Taktser, China"
Thich Nhat Hanh,1926-10-11,Unknown,"Huế, Vietnam"
Shunryu Suzuki,1904-05-18,Unknown,"Kanagawa, Japan"
D. T. Suzuki,1870-10-18,Unknown,"Kanazawa, Japan"
Helena Blavatsky,1831-08-12,Unknown,"Yekaterinoslav, Ukraine"
Annie Besant,1847-10-01,Unknown,"London, England"
Rudolf Steiner,1861-02-27,Unknown,"Donji Kraljevec, Croatia"
George Gurdjieff,1866-01-13,Unknown,"Alexandropol, Armenia"
P. D. Ouspensky,1878-03-05,Unknown,"Moscow, Russia"
Carl Gustav Jung,1875-07-26,Unknown,"Kesswil, Switzerland"
Joseph Campbell,1904-03-26,Unknown,"White Plains, New York, USA"
Alan Watts,1915-01-06,Unknown,"Chislehurst, England"
Thomas Merton,1915-01-31,Unknown,"Prades, France"
Pierre Teilhard de Chardin,1881-05-01,Unknown,"Sarcenat, France"
Richard Rohr,1943-03-20,Unknown,"Topeka, Kansas, USA"
Eckhart Tolle,1948-02-16,Unknown,"Lünen, Germany"
Ram Dass,1931-04-06,Unknown,"Boston, Massachusetts, USA"
Deepak Chopra,1946-10-22,Unknown,"New Delhi, India"
Michael A. Singer,1947-05-06,Unknown,"New Rochelle, New York, USA"
Byron Katie,1942-12-06,Unknown,"Breckenridge, Texas, USA"
Sadhguru,1957-09-03,Unknown,"Mysore, India"
